;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;1.0;1.0;0.872;0.872;0.86;0.86;0.958;0.958;0.958;0.945;0.93;1.0;0.974;1.0
transcript1_ENSSTOG00000019743;1.0;1.0;1.0;0.87;0.87;0.86;0.858;0.951;0.948;0.951;0.941;0.929;1.0;0.978;1.0
transcript1_ENSCCNG00000000226;1.0;1.0;1.0;0.854;0.854;0.839;0.859;0.956;0.957;0.956;0.949;0.932;1.0;0.976;1.0
transcript10_ENSMLUG00000027828;0.872;0.87;0.854;1.0;1.0;0.987;0.989;0.908;0.909;0.908;0.894;0.879;0.872;0.845;0.872
transcript16_ENSMLUG00000027828;0.872;0.87;0.854;1.0;1.0;0.987;0.989;0.908;0.909;0.908;0.894;0.879;0.872;0.845;0.872
transcript28_ENSMLUG00000027828;0.86;0.86;0.839;0.987;0.987;1.0;0.979;0.898;0.898;0.898;0.878;0.887;0.86;0.855;0.86
transcript9_ENSSTOG00000019743;0.86;0.858;0.859;0.989;0.989;0.979;1.0;0.902;0.905;0.902;0.912;0.878;0.858;0.835;0.858
transcript29_ENSSTOG00000019743;0.958;0.951;0.956;0.908;0.908;0.898;0.902;1.0;0.988;1.0;0.985;0.976;0.951;0.929;0.951
transcript29_ENSCPOG00000024843;0.958;0.948;0.957;0.909;0.909;0.898;0.905;0.988;1.0;0.988;0.984;0.965;0.954;0.934;0.954
transcript30_ENSSTOG00000019743;0.958;0.951;0.956;0.908;0.908;0.898;0.902;1.0;0.988;1.0;0.985;0.976;0.951;0.929;0.951
transcript30_ENSCCNG00000000226;0.945;0.941;0.949;0.894;0.894;0.878;0.912;0.985;0.984;0.985;1.0;0.959;0.949;0.925;0.949
transcript31_ENSSTOG00000019743;0.93;0.929;0.932;0.879;0.879;0.887;0.878;0.976;0.965;0.976;0.959;1.0;0.929;0.95;0.929
transcript35_ENSCPOG00000024843;1.0;1.0;1.0;0.872;0.872;0.86;0.858;0.951;0.954;0.951;0.949;0.929;1.0;0.98;1.0
transcript36_ENSCPOG00000024843;0.974;0.978;0.976;0.845;0.845;0.855;0.835;0.929;0.934;0.929;0.925;0.95;0.98;1.0;0.98
transcript37_ENSCPOG00000024843;1.0;1.0;1.0;0.872;0.872;0.86;0.858;0.951;0.954;0.951;0.949;0.929;1.0;0.98;1.0
