;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript22_ENSAPOG00000016134;0.857;0.857;0.857;1.0;1.0;1.0;0.5;0.5;0.333;0.333;0.571;0.714;0.857;0.857;0.857;0.714;0.571;0.571;0.714;0.667;0.625;0.857;0.75;0.667
transcript22_ENSAPOG00000023408;0.857;0.857;0.857;1.0;1.0;1.0;0.5;0.5;0.333;0.333;0.571;0.714;0.857;0.857;0.857;0.714;0.571;0.571;0.714;0.667;0.625;0.857;0.75;0.667
transcript22_ENSPNYG00000024266;0.857;0.857;0.857;1.0;1.0;1.0;0.5;0.5;0.333;0.333;0.571;0.714;0.857;0.857;0.857;0.714;0.571;0.571;0.714;0.667;0.625;0.857;0.75;0.667
transcript27_ENSAPOG00000016134;0.429;0.429;0.429;0.5;0.5;0.5;1.0;1.0;0.667;0.667;0.6;0.286;0.429;0.429;0.429;0.5;0.6;0.6;0.286;0.333;0.429;0.429;0.375;0.333
transcript27_ENSAOCG00000015695;0.429;0.429;0.429;0.5;0.5;0.5;1.0;1.0;0.667;0.667;0.6;0.286;0.429;0.429;0.429;0.5;0.6;0.6;0.286;0.333;0.429;0.429;0.375;0.333
transcript28_ENSAPOG00000016134;0.286;0.286;0.286;0.333;0.333;0.333;0.667;0.667;1.0;1.0;0.4;0.333;0.286;0.286;0.286;0.333;0.4;0.4;0.143;0.222;0.286;0.286;0.25;0.222
transcript28_ENSAOCG00000015695;0.286;0.286;0.286;0.333;0.333;0.333;0.667;0.667;1.0;1.0;0.4;0.333;0.286;0.286;0.286;0.333;0.4;0.4;0.143;0.222;0.286;0.286;0.25;0.222
transcript32_ENSAPOG00000023408;0.714;0.714;0.714;0.571;0.571;0.571;0.6;0.6;0.4;0.4;1.0;0.571;0.714;0.714;0.714;0.571;0.667;1.0;0.571;0.556;0.5;0.714;0.444;0.556
transcript33_ENSAPOG00000023408;0.857;0.857;0.857;0.714;0.714;0.714;0.286;0.286;0.333;0.333;0.571;1.0;0.857;0.857;0.857;0.714;0.571;0.571;0.714;0.667;0.625;0.857;0.556;0.667
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript26_ENSAOCG00000015695;0.857;0.857;0.857;0.714;0.714;0.714;0.5;0.5;0.333;0.333;0.571;0.714;0.857;0.857;0.857;1.0;0.833;0.571;0.714;0.667;0.857;0.857;0.556;0.667
transcript29_ENSAOCG00000015695;0.714;0.714;0.714;0.571;0.571;0.571;0.6;0.6;0.4;0.4;0.667;0.571;0.714;0.714;0.714;0.833;1.0;0.667;0.571;0.556;0.714;0.714;0.444;0.556
transcript14_ENSPNYG00000024266;0.714;0.714;0.714;0.571;0.571;0.571;0.6;0.6;0.4;0.4;1.0;0.571;0.714;0.714;0.714;0.571;0.667;1.0;0.571;0.556;0.5;0.714;0.444;0.556
transcript21_ENSPNYG00000024266;0.857;0.857;0.857;0.714;0.714;0.714;0.286;0.286;0.143;0.143;0.571;0.714;0.857;0.857;0.857;0.714;0.571;0.571;1.0;0.667;0.625;0.857;0.556;0.667
transcript3_ENSXMAG00000026005;0.778;0.778;0.778;0.667;0.667;0.667;0.333;0.333;0.222;0.222;0.556;0.667;0.778;0.778;0.778;0.667;0.556;0.556;0.667;1.0;0.778;0.778;0.889;1.0
transcript10_ENSXMAG00000026005;0.75;0.75;0.75;0.625;0.625;0.625;0.429;0.429;0.286;0.286;0.5;0.625;0.75;0.75;0.75;0.857;0.714;0.5;0.625;0.778;1.0;0.75;0.667;0.778
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.857;0.857;0.857;0.429;0.429;0.286;0.286;0.714;0.857;1.0;1.0;1.0;0.857;0.714;0.714;0.857;0.778;0.75;1.0;0.667;0.778
transcript16_ENSXMAG00000026005;0.667;0.667;0.667;0.75;0.75;0.75;0.375;0.375;0.25;0.25;0.444;0.556;0.667;0.667;0.667;0.556;0.444;0.444;0.556;0.889;0.667;0.667;1.0;0.889
transcript17_ENSXMAG00000026005;0.778;0.778;0.778;0.667;0.667;0.667;0.333;0.333;0.222;0.222;0.556;0.667;0.778;0.778;0.778;0.667;0.556;0.556;0.667;1.0;0.778;0.778;0.889;1.0
