;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.955;0.825;0.934;0.117;1.0;0.959;0.934;0.943;0.217;0.999;0.959;0.566;0.212;0.955;0.947
ENSCAFT00000027149_90_90;0.955;1.0;0.605;0.617;0.084;0.657;0.619;0.99;1.0;0.149;0.661;0.623;0.342;0.087;1.0;0.99
ENST00000256062_90_90;0.825;0.605;1.0;0.878;0.138;0.82;0.78;0.608;0.605;0.148;0.82;0.78;0.548;0.246;0.605;0.608
ENST00000539277_90_90;0.934;0.617;0.878;1.0;0.122;0.934;0.894;0.606;0.612;0.161;0.933;0.893;0.497;0.226;0.617;0.611
ENST00000550354_90_90;0.117;0.084;0.138;0.122;1.0;0.114;0.074;0.085;0.084;0.0;0.117;0.076;0.207;0.0;0.084;0.085
ENST00000551659_90_90;1.0;0.657;0.82;0.934;0.114;1.0;0.96;0.645;0.651;0.217;0.999;0.959;0.563;0.211;0.657;0.651
ENST00000552618_90_90;0.959;0.619;0.78;0.894;0.074;0.96;1.0;0.608;0.613;0.23;0.959;0.999;0.522;0.22;0.619;0.613
ENST00000373701_90_90;0.934;0.99;0.608;0.606;0.085;0.645;0.608;1.0;0.99;0.145;0.649;0.611;0.344;0.087;0.99;1.0
ENST00000373719_90_90;0.943;1.0;0.605;0.612;0.084;0.651;0.613;0.99;1.0;0.149;0.655;0.617;0.342;0.087;1.0;0.99
ENST00000444774_90_90;0.217;0.149;0.148;0.161;0.0;0.217;0.23;0.145;0.149;1.0;0.216;0.229;0.394;0.556;0.149;0.145
ENSMUST00000060095_90_90;0.999;0.661;0.82;0.933;0.117;0.999;0.959;0.649;0.655;0.216;1.0;0.96;0.541;0.209;0.661;0.655
ENSMUST00000100772_90_90;0.959;0.623;0.78;0.893;0.076;0.959;0.999;0.611;0.617;0.229;0.96;1.0;0.502;0.218;0.623;0.617
ENSMUST00000140797_90_90;0.566;0.342;0.548;0.497;0.207;0.563;0.522;0.344;0.342;0.394;0.541;0.502;1.0;0.366;0.342;0.344
ENSMUST00000203991_90_90;0.212;0.087;0.246;0.226;0.0;0.211;0.22;0.087;0.087;0.556;0.209;0.218;0.366;1.0;0.087;0.087
ENSMUST00000044475_90_90;0.955;1.0;0.605;0.617;0.084;0.657;0.619;0.99;1.0;0.149;0.661;0.623;0.342;0.087;1.0;0.99
ENSMUST00000119299_90_90;0.947;0.99;0.608;0.611;0.085;0.651;0.613;1.0;0.99;0.145;0.655;0.617;0.344;0.087;0.99;1.0
