;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.818;0.5;0.667;0.1;0.182;0.364;0.182;0.667;1.0;0.818;0.818;0.5;0.1
ENST00000339582_90_90;0.818;1.0;0.636;0.818;0.1;0.182;0.5;0.083;0.818;0.818;0.667;0.667;0.364;0.1
ENST00000341617_90_90;0.5;0.636;1.0;0.636;0.125;0.0;0.625;0.1;0.636;0.5;0.5;0.5;0.444;0.125
ENST00000358373_90_90;0.667;0.818;0.636;1.0;0.1;0.083;0.5;0.083;1.0;0.667;0.818;0.818;0.364;0.1
ENST00000412160_90_90;0.1;0.1;0.125;0.1;1.0;0.0;0.2;0.0;0.1;0.1;0.1;0.1;0.2;1.0
ENST00000444921_90_90;0.182;0.182;0.0;0.083;0.0;1.0;0.0;0.0;0.083;0.182;0.083;0.083;0.0;0.0
ENST00000457830_90_90;0.364;0.5;0.625;0.5;0.2;0.0;1.0;0.143;0.5;0.364;0.364;0.364;0.667;0.2
ENST00000465844_90_90;0.182;0.083;0.1;0.083;0.0;0.0;0.143;1.0;0.083;0.182;0.182;0.182;0.333;0.0
ENST00000472701_90_90;0.667;0.818;0.636;1.0;0.1;0.083;0.5;0.083;1.0;0.667;0.818;0.818;0.364;0.1
ENSMUST00000090512_90_90;1.0;0.818;0.5;0.667;0.1;0.182;0.364;0.182;0.667;1.0;0.818;0.818;0.5;0.1
ENSMUST00000115323_90_90;0.818;0.667;0.5;0.818;0.1;0.083;0.364;0.182;0.818;0.818;1.0;1.0;0.5;0.1
ENSMUST00000115324_90_90;0.818;0.667;0.5;0.818;0.1;0.083;0.364;0.182;0.818;0.818;1.0;1.0;0.5;0.1
ENSMUST00000131897_90_90;0.5;0.364;0.444;0.364;0.2;0.0;0.667;0.333;0.364;0.5;0.5;0.5;1.0;0.2
ENSMUST00000132755_90_90;0.1;0.1;0.125;0.1;1.0;0.0;0.2;0.0;0.1;0.1;0.1;0.1;0.2;1.0
