;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.44;0.48;0.083;0.333;0.192;0.576;0.217;0.576;0.259;0.296;0.304;0.542;0.76;0.333;0.348
ENST00000320694_90_90;0.44;1.0;0.8;0.067;0.571;0.0;0.4;0.385;0.4;0.333;0.389;0.538;0.688;0.478;0.467;0.5
ENST00000336483_90_90;0.48;0.8;1.0;0.214;0.533;0.0;0.387;0.357;0.387;0.316;0.368;0.5;0.867;0.458;0.438;0.467
ENST00000517698_90_90;0.083;0.067;0.214;1.0;0.091;0.0;0.032;0.0;0.032;0.077;0.071;0.0;0.214;0.043;0.091;0.1
ENST00000519025_90_90;0.333;0.571;0.533;0.091;1.0;0.0;0.267;0.556;0.267;0.176;0.235;0.6;0.533;0.364;0.385;0.545
ENST00000520675_90_90;0.192;0.0;0.0;0.0;0.0;1.0;0.194;0.0;0.194;0.0;0.0;0.0;0.0;0.16;0.0;0.0
ENST00000521381_90_90;0.576;0.4;0.387;0.032;0.267;0.194;1.0;0.172;1.0;0.379;0.414;0.241;0.344;0.613;0.226;0.233
ENST00000521409_90_90;0.217;0.385;0.357;0.0;0.556;0.0;0.172;1.0;0.172;0.067;0.133;0.714;0.357;0.238;0.273;0.444
ENST00000521657_90_90;0.576;0.4;0.387;0.032;0.267;0.194;1.0;0.172;1.0;0.379;0.414;0.241;0.344;0.613;0.226;0.233
ENST00000522084_90_90;0.259;0.333;0.316;0.077;0.176;0.0;0.379;0.067;0.379;1.0;0.917;0.059;0.25;0.185;0.333;0.267
ENST00000523807_90_90;0.296;0.389;0.368;0.071;0.235;0.0;0.414;0.133;0.414;0.917;1.0;0.118;0.3;0.222;0.4;0.333
ENST00000523872_90_90;0.304;0.538;0.5;0.0;0.6;0.0;0.241;0.714;0.241;0.059;0.118;1.0;0.5;0.333;0.231;0.364
ENSMUST00000035532_90_90;0.542;0.688;0.867;0.214;0.533;0.0;0.344;0.357;0.344;0.25;0.3;0.5;1.0;0.522;0.533;0.571
ENSMUST00000055518_90_90;0.76;0.478;0.458;0.043;0.364;0.16;0.613;0.238;0.613;0.185;0.222;0.333;0.522;1.0;0.364;0.381
ENSMUST00000185795_90_90;0.333;0.467;0.438;0.091;0.385;0.0;0.226;0.273;0.226;0.333;0.4;0.231;0.533;0.364;1.0;0.7
ENSMUST00000187009_90_90;0.348;0.5;0.467;0.1;0.545;0.0;0.233;0.444;0.233;0.267;0.333;0.364;0.571;0.381;0.7;1.0
