;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.831;0.792;1.0;1.0;0.694;0.831
transcript22_ENSAPOG00000016134;0.863;1.0;0.751;0.823;0.863;1.0;0.657;0.71;0.863;0.863;0.651;0.763;0.495;0.582;0.863;0.657;0.727;0.918;0.695;0.651;0.863;0.863;0.825;0.695
transcript27_ENSAPOG00000016134;0.657;0.751;1.0;0.574;0.657;0.751;0.82;0.504;0.657;0.657;0.446;0.514;0.558;0.485;0.657;0.82;0.516;0.694;0.516;0.446;0.657;0.657;0.605;0.516
transcript28_ENSAPOG00000016134;0.71;0.823;0.574;1.0;0.71;0.823;0.504;0.843;0.71;0.71;0.497;0.587;0.324;0.424;0.71;0.504;0.567;0.755;0.572;0.497;0.71;0.71;0.68;0.572
transcript19_ENSAPOG00000023408;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.831;0.792;1.0;1.0;0.694;0.831
transcript22_ENSAPOG00000023408;0.863;1.0;0.751;0.823;0.863;1.0;0.657;0.71;0.863;0.863;0.651;0.763;0.495;0.582;0.863;0.657;0.727;0.918;0.695;0.651;0.863;0.863;0.825;0.695
transcript32_ENSAPOG00000023408;0.796;0.657;0.82;0.504;0.796;0.657;1.0;0.645;0.796;0.796;0.589;0.452;0.744;0.645;0.796;1.0;0.658;0.733;0.653;0.589;0.796;0.796;0.516;0.653
transcript33_ENSAPOG00000023408;0.849;0.71;0.504;0.843;0.849;0.71;0.645;1.0;0.849;0.849;0.641;0.504;0.473;0.569;0.849;0.645;0.71;0.785;0.709;0.641;0.849;0.849;0.572;0.709
transcript12_ENSAOCG00000015695;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.794;0.736;1.0;1.0;0.658;0.794
transcript19_ENSAOCG00000015695;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.794;0.736;1.0;1.0;0.658;0.794
