;ENSCAFT00000004613_90_90;ENSCAFT00000004622_90_90;ENST00000354667_90_90;ENST00000356674_90_90;ENST00000360787_90_90;ENST00000618183_90_90;ENSMUST00000069949_90_90;ENSMUST00000090002_90_90;ENSMUST00000114459_90_90;ENSMUST00000203220_90_90;ENSMUST00000203253_90_90;ENSMUST00000203954_90_90;ENSMUST00000204158_90_90;ENSMUST00000204188_90_90
ENSCAFT00000004613_90_90;1.0;0.853;0.853;0.883;0.853;0.592;0.765;0.883;0.853;0.883;0.516;0.853;0.765;0.765
ENSCAFT00000004622_90_90;0.853;1.0;0.994;0.96;0.994;0.734;0.847;0.96;0.994;0.96;0.443;0.994;0.847;0.847
ENST00000354667_90_90;0.853;0.994;1.0;0.966;1.0;0.739;0.853;0.966;1.0;0.966;0.44;1.0;0.853;0.853
ENST00000356674_90_90;0.883;0.96;0.966;1.0;0.966;0.705;0.883;1.0;0.966;1.0;0.456;0.966;0.883;0.883
ENST00000360787_90_90;0.853;0.994;1.0;0.966;1.0;0.739;0.853;0.966;1.0;0.966;0.44;1.0;0.853;0.853
ENST00000618183_90_90;0.592;0.734;0.739;0.705;0.739;1.0;0.592;0.705;0.739;0.705;0.427;0.739;0.592;0.592
ENSMUST00000069949_90_90;0.765;0.847;0.853;0.883;0.853;0.592;1.0;0.883;0.853;0.883;0.477;0.853;1.0;1.0
ENSMUST00000090002_90_90;0.883;0.96;0.966;1.0;0.966;0.705;0.883;1.0;0.966;1.0;0.456;0.966;0.883;0.883
ENSMUST00000114459_90_90;0.853;0.994;1.0;0.966;1.0;0.739;0.853;0.966;1.0;0.966;0.44;1.0;0.853;0.853
ENSMUST00000203220_90_90;0.883;0.96;0.966;1.0;0.966;0.705;0.883;1.0;0.966;1.0;0.456;0.966;0.883;0.883
ENSMUST00000203253_90_90;0.516;0.443;0.44;0.456;0.44;0.427;0.477;0.456;0.44;0.456;1.0;0.44;0.477;0.477
ENSMUST00000203954_90_90;0.853;0.994;1.0;0.966;1.0;0.739;0.853;0.966;1.0;0.966;0.44;1.0;0.853;0.853
ENSMUST00000204158_90_90;0.765;0.847;0.853;0.883;0.853;0.592;1.0;0.883;0.853;0.883;0.477;0.853;1.0;1.0
ENSMUST00000204188_90_90;0.765;0.847;0.853;0.883;0.853;0.592;1.0;0.883;0.853;0.883;0.477;0.853;1.0;1.0
