;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.815;0.402;0.301;0.372;0.369;0.423;0.288;0.0;0.043;0.048;0.0;0.0;0.0;0.048;0.059;0.049
ENSCAFT00000048830_90_90;0.815;1.0;0.457;0.345;0.426;0.423;0.494;0.352;0.0;0.048;0.054;0.0;0.0;0.0;0.054;0.068;0.055
ENST00000368686_90_90;0.402;0.457;1.0;0.411;0.374;0.37;0.452;0.229;0.0;0.063;0.073;0.0;0.0;0.0;0.073;0.101;0.075
ENST00000368687_90_90;0.301;0.345;0.411;1.0;0.896;0.899;0.714;0.206;0.178;0.227;0.249;0.194;0.193;0.178;0.248;0.06;0.056
ENST00000368690_90_90;0.372;0.426;0.374;0.896;1.0;0.996;0.811;0.305;0.167;0.216;0.234;0.18;0.18;0.167;0.234;0.059;0.055
ENST00000368694_90_90;0.369;0.423;0.37;0.899;0.996;1.0;0.815;0.306;0.167;0.213;0.232;0.181;0.18;0.167;0.231;0.056;0.053
ENST00000403433_90_90;0.423;0.494;0.452;0.714;0.811;0.815;1.0;0.376;0.189;0.24;0.265;0.207;0.206;0.189;0.264;0.064;0.06
ENST00000614256_90_90;0.288;0.352;0.229;0.206;0.305;0.306;0.376;1.0;0.01;0.059;0.058;0.001;0.001;0.01;0.058;0.081;0.07
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.178;0.167;0.167;0.189;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000049937_90_90;0.043;0.048;0.063;0.227;0.216;0.213;0.24;0.059;0.9;1.0;0.811;0.711;0.715;0.9;0.815;0.497;0.604
ENSMUST00000076639_90_90;0.048;0.054;0.073;0.249;0.234;0.232;0.265;0.058;0.711;0.811;1.0;0.876;0.872;0.711;0.995;0.604;0.511
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.194;0.18;0.181;0.207;0.001;0.79;0.711;0.876;1.0;0.994;0.79;0.872;0.481;0.416
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.193;0.18;0.18;0.206;0.001;0.795;0.715;0.872;0.994;1.0;0.795;0.877;0.486;0.42
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.178;0.167;0.167;0.189;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000107346_90_90;0.048;0.054;0.073;0.248;0.234;0.231;0.264;0.058;0.715;0.815;0.995;0.872;0.877;0.715;1.0;0.609;0.515
ENSMUST00000131868_90_90;0.059;0.068;0.101;0.06;0.059;0.056;0.064;0.081;0.396;0.497;0.604;0.481;0.486;0.396;0.609;1.0;0.633
ENSMUST00000146740_90_90;0.049;0.055;0.075;0.056;0.055;0.053;0.06;0.07;0.514;0.604;0.511;0.416;0.42;0.514;0.515;0.633;1.0
