;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.926;0.926;0.276;0.926;0.75;0.481;0.637;0.196;0.375
ENST00000617070_90_90;0.926;1.0;1.0;0.288;1.0;0.811;0.509;0.674;0.206;0.394
ENST00000617991_90_90;0.926;1.0;1.0;0.288;1.0;0.811;0.509;0.674;0.206;0.394
ENST00000622969_90_90;0.276;0.288;0.288;1.0;0.288;0.134;0.141;0.302;0.0;0.319
ENST00000623597_90_90;0.926;1.0;1.0;0.288;1.0;0.811;0.509;0.674;0.206;0.394
ENST00000623893_90_90;0.75;0.811;0.811;0.134;0.811;1.0;0.613;0.509;0.248;0.219
ENSMUST00000064664_90_90;0.481;0.509;0.509;0.141;0.509;0.613;1.0;0.794;0.52;0.231
ENSMUST00000064679_90_90;0.637;0.674;0.674;0.302;0.674;0.509;0.794;1.0;0.413;0.417
ENSMUST00000129905_90_90;0.196;0.206;0.206;0.0;0.206;0.248;0.52;0.413;1.0;0.354
ENSMUST00000136247_90_90;0.375;0.394;0.394;0.319;0.394;0.219;0.231;0.417;0.354;1.0
