;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.976;0.939;0.939;0.941;0.804;0.992;0.786;0.802;0.806;0.994;0.804;0.136;0.128;0.48;0.202;0.804;0.741;0.996;0.942;0.993;0.805;0.02;0.803;0.63
ENSCAFT00000035671_90_90;0.976;1.0;0.918;0.918;0.921;0.786;0.972;0.769;0.784;0.786;0.974;0.786;0.137;0.123;0.463;0.204;0.786;0.723;0.975;0.922;0.973;0.787;0.02;0.785;0.627
ENST00000353331_90_90;0.939;0.918;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.943;0.996;0.945;0.833;0.021;0.835;0.67
ENST00000392348_90_90;0.939;0.918;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.943;0.996;0.945;0.833;0.021;0.835;0.67
ENST00000527536_90_90;0.941;0.921;0.998;0.998;1.0;0.837;0.945;0.833;0.835;0.759;0.947;0.837;0.144;0.135;0.494;0.149;0.837;0.766;0.945;0.998;0.943;0.835;0.021;0.833;0.668
ENST00000527613_90_90;0.804;0.786;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.791;0.835;0.789;0.998;0.024;0.996;0.51
ENST00000527759_90_90;0.992;0.972;0.947;0.947;0.945;0.791;1.0;0.787;0.793;0.81;0.998;0.791;0.137;0.129;0.469;0.203;0.791;0.724;0.996;0.943;0.999;0.789;0.02;0.791;0.634
ENST00000529826_90_90;0.786;0.769;0.831;0.831;0.833;0.965;0.787;1.0;0.962;0.601;0.789;0.965;0.0;0.163;0.59;0.017;0.965;0.913;0.787;0.831;0.785;0.963;0.025;0.96;0.501
ENST00000530429_90_90;0.802;0.784;0.837;0.837;0.835;0.997;0.793;0.962;1.0;0.606;0.791;0.997;0.0;0.157;0.571;0.031;0.997;0.881;0.789;0.833;0.791;0.996;0.024;0.998;0.511
ENST00000530767_90_90;0.806;0.786;0.757;0.757;0.759;0.608;0.81;0.601;0.606;1.0;0.812;0.608;0.168;0.137;0.573;0.249;0.608;0.542;0.81;0.757;0.808;0.606;0.024;0.603;0.444
ENST00000531224_90_90;0.994;0.974;0.945;0.945;0.947;0.793;0.998;0.789;0.791;0.812;1.0;0.793;0.137;0.128;0.468;0.203;0.793;0.726;0.999;0.945;0.996;0.791;0.019;0.789;0.633
ENST00000532384_90_90;0.804;0.786;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.791;0.835;0.789;0.998;0.024;0.996;0.51
ENST00000533422_90_90;0.136;0.137;0.145;0.145;0.144;0.0;0.137;0.0;0.0;0.168;0.137;0.0;1.0;0.0;0.0;0.539;0.0;0.0;0.137;0.145;0.137;0.0;0.0;0.0;0.216
ENST00000533621_90_90;0.128;0.123;0.136;0.136;0.135;0.157;0.129;0.163;0.157;0.137;0.128;0.157;0.0;1.0;0.217;0.0;0.157;0.168;0.127;0.135;0.128;0.156;0.0;0.156;0.144
ENST00000534269_90_90;0.48;0.463;0.495;0.495;0.494;0.57;0.469;0.59;0.571;0.573;0.468;0.57;0.0;0.217;1.0;0.0;0.57;0.608;0.467;0.493;0.468;0.568;0.092;0.57;0.174
ENST00000534762_90_90;0.202;0.204;0.15;0.15;0.149;0.031;0.203;0.017;0.031;0.249;0.203;0.031;0.539;0.0;0.0;1.0;0.031;0.0;0.203;0.15;0.203;0.031;0.0;0.031;0.218
ENST00000628517_90_90;0.804;0.786;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.791;0.835;0.789;0.998;0.024;0.996;0.51
ENST00000640069_90_90;0.741;0.723;0.764;0.764;0.766;0.884;0.724;0.913;0.881;0.542;0.726;0.884;0.0;0.168;0.608;0.0;0.884;1.0;0.741;0.783;0.739;0.908;0.026;0.905;0.453
ENSMUST00000043881_90_90;0.996;0.975;0.943;0.943;0.945;0.791;0.996;0.787;0.789;0.81;0.999;0.791;0.137;0.127;0.467;0.203;0.791;0.741;1.0;0.947;0.998;0.792;0.019;0.79;0.634
ENSMUST00000092678_90_90;0.942;0.922;0.996;0.996;0.998;0.835;0.943;0.831;0.833;0.757;0.945;0.835;0.145;0.135;0.493;0.15;0.835;0.783;0.947;1.0;0.945;0.836;0.02;0.834;0.67
ENSMUST00000185800_90_90;0.993;0.973;0.945;0.945;0.943;0.789;0.999;0.785;0.791;0.808;0.996;0.789;0.137;0.128;0.468;0.203;0.789;0.739;0.998;0.945;1.0;0.79;0.019;0.792;0.636
ENSMUST00000186100_90_90;0.805;0.787;0.833;0.833;0.835;0.998;0.789;0.963;0.996;0.606;0.791;0.998;0.0;0.156;0.568;0.031;0.998;0.908;0.792;0.836;0.79;1.0;0.024;0.997;0.511
ENSMUST00000189158_90_90;0.02;0.02;0.021;0.021;0.021;0.024;0.02;0.025;0.024;0.024;0.019;0.024;0.0;0.0;0.092;0.0;0.024;0.026;0.019;0.02;0.019;0.024;1.0;0.024;0.03
ENSMUST00000190156_90_90;0.803;0.785;0.835;0.835;0.833;0.996;0.791;0.96;0.998;0.603;0.789;0.996;0.0;0.156;0.57;0.031;0.996;0.905;0.79;0.834;0.792;0.997;0.024;1.0;0.512
ENSMUST00000191438_90_90;0.63;0.627;0.67;0.67;0.668;0.51;0.634;0.501;0.511;0.444;0.633;0.51;0.216;0.144;0.174;0.218;0.51;0.453;0.634;0.67;0.636;0.511;0.03;0.512;1.0
