;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.861;0.88;0.932;0.112;0.429;0.0;0.145;0.852;0.924;0.919;0.241;0.487
ENSCAFT00000042737_90_90;0.861;1.0;0.972;0.916;0.068;0.388;0.0;0.182;0.879;0.949;0.946;0.235;0.473
ENST00000373836_90_90;0.88;0.972;1.0;0.865;0.046;0.319;0.0;0.197;0.79;0.95;0.853;0.285;0.425
ENST00000373839_90_90;0.932;0.916;0.865;1.0;0.083;0.392;0.037;0.098;0.894;0.837;0.966;0.185;0.502
ENST00000493669_90_90;0.112;0.068;0.046;0.083;1.0;0.305;0.111;0.396;0.09;0.1;0.083;0.298;0.155
ENST00000632202_90_90;0.429;0.388;0.319;0.392;0.305;1.0;0.056;0.333;0.351;0.373;0.42;0.482;0.568
ENST00000632421_90_90;0.0;0.0;0.0;0.037;0.111;0.056;1.0;0.0;0.063;0.0;0.056;0.0;0.092
ENST00000633167_90_90;0.145;0.182;0.197;0.098;0.396;0.333;0.0;1.0;0.085;0.244;0.121;0.517;0.142
ENSMUST00000084170_90_90;0.852;0.879;0.79;0.894;0.09;0.351;0.063;0.085;1.0;0.788;0.935;0.181;0.548
ENSMUST00000084249_90_90;0.924;0.949;0.95;0.837;0.1;0.373;0.0;0.244;0.788;1.0;0.843;0.304;0.403
ENSMUST00000102568_90_90;0.919;0.946;0.853;0.966;0.083;0.42;0.056;0.121;0.935;0.843;1.0;0.172;0.51
ENSMUST00000136711_90_90;0.241;0.235;0.285;0.185;0.298;0.482;0.0;0.517;0.181;0.304;0.172;1.0;0.333
ENSMUST00000152271_90_90;0.487;0.473;0.425;0.502;0.155;0.568;0.092;0.142;0.548;0.403;0.51;0.333;1.0
