;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.984;1.0;0.71;0.624;0.606;0.733;0.574;0.624;0.444;0.614;0.582;0.582;0.457;0.625;0.606
transcript19_ppan;0.984;1.0;0.983;0.695;0.614;0.596;0.742;0.564;0.614;0.432;0.604;0.572;0.572;0.445;0.614;0.596
transcript20_ppan;1.0;0.983;1.0;0.695;0.611;0.593;0.722;0.593;0.611;0.422;0.601;0.601;0.601;0.435;0.647;0.593
transcript12_ptro;0.71;0.695;0.695;1.0;0.997;0.976;0.597;0.931;0.997;0.874;0.983;0.939;0.939;0.874;0.939;1.0
transcript12_hsap;0.624;0.614;0.611;0.997;1.0;0.987;0.708;0.958;1.0;0.583;0.976;0.948;0.948;0.592;0.89;0.982
transcript18_hsap;0.606;0.596;0.593;0.976;0.987;1.0;0.718;0.971;0.987;0.567;0.963;0.934;0.934;0.576;0.876;0.969
transcript19_hsap;0.733;0.742;0.722;0.597;0.708;0.718;1.0;0.688;0.708;0.302;0.697;0.668;0.668;0.306;0.609;0.695
transcript20_hsap;0.574;0.564;0.593;0.931;0.958;0.971;0.688;1.0;0.958;0.539;0.934;0.962;0.962;0.547;0.902;0.94
transcript21_hsap;0.624;0.614;0.611;0.997;1.0;0.987;0.708;0.958;1.0;0.583;0.976;0.948;0.948;0.592;0.89;0.982
transcript11_ggor;0.444;0.432;0.422;0.874;0.583;0.567;0.302;0.539;0.583;1.0;0.591;0.563;0.563;0.964;0.6;0.601
transcript12_ggor;0.614;0.604;0.601;0.983;0.976;0.963;0.697;0.934;0.976;0.591;1.0;0.971;0.971;0.604;0.908;0.959
transcript16_ggor;0.582;0.572;0.601;0.939;0.948;0.934;0.668;0.962;0.948;0.563;0.971;1.0;1.0;0.575;0.935;0.931
transcript17_ggor;0.582;0.572;0.601;0.939;0.948;0.934;0.668;0.962;0.948;0.563;0.971;1.0;1.0;0.575;0.935;0.931
transcript18_ggor;0.457;0.445;0.435;0.874;0.592;0.576;0.306;0.547;0.592;0.964;0.604;0.575;0.575;1.0;0.614;0.58
transcript19_ggor;0.625;0.614;0.647;0.939;0.89;0.876;0.609;0.902;0.89;0.6;0.908;0.935;0.935;0.614;1.0;0.871
transcript8_pabe;0.606;0.596;0.593;1.0;0.982;0.969;0.695;0.94;0.982;0.601;0.959;0.931;0.931;0.58;0.871;1.0
