;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.574;0.698;1.0;1.0;0.387;0.111;1.0;0.44;0.155;0.529;0.457;0.415;0.323;0.424;0.259;0.413;0.457;0.424;0.323;0.021;0.021;0.213;0.156;0.0;0.145;0.448;0.406;0.437;0.448;0.344;0.345;1.0;0.947;0.968;0.104;0.21;1.0;1.0;0.532;0.521;0.567;0.548;0.567;0.583;0.58;0.521;0.536;0.521;0.484;0.113;0.042;0.175;0.521;0.536;0.175
ENSCAFT00000019817_90_90;0.574;1.0;0.301;0.571;0.571;0.357;0.0;0.571;0.409;0.0;0.469;0.626;0.582;0.234;0.594;0.177;0.582;0.626;0.594;0.234;0.02;0.0;0.135;0.144;0.0;0.09;0.967;0.958;1.0;0.967;0.418;0.418;0.571;0.521;0.554;0.099;0.0;0.571;0.571;0.698;0.686;0.734;0.713;0.734;0.749;0.745;0.686;0.966;1.0;0.958;0.082;0.03;0.123;1.0;0.966;0.123
ENSCAFT00000022132_90_90;0.698;0.301;1.0;0.524;0.511;0.062;0.103;0.511;0.102;0.145;0.165;0.36;0.373;0.492;0.371;0.433;0.362;0.36;0.371;0.492;0.042;0.019;0.201;0.036;0.0;0.136;0.235;0.199;0.229;0.235;0.338;0.338;0.682;0.63;0.658;0.14;0.291;0.698;0.682;0.425;0.428;0.41;0.419;0.41;0.404;0.405;0.428;0.282;0.274;0.237;0.183;0.068;0.283;0.274;0.282;0.283
ENST00000257414_90_90;1.0;0.571;0.524;1.0;0.984;0.377;0.109;0.984;0.432;0.152;0.52;0.378;0.344;0.269;0.356;0.228;0.347;0.378;0.356;0.269;0.02;0.02;0.21;0.149;0.0;0.143;0.446;0.405;0.435;0.446;0.344;0.345;0.983;0.932;0.946;0.102;0.207;1.0;0.983;0.48;0.471;0.512;0.495;0.512;0.526;0.523;0.471;0.534;0.518;0.482;0.113;0.042;0.175;0.518;0.534;0.175
ENST00000343348_90_90;1.0;0.571;0.511;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.367;0.333;0.256;0.344;0.214;0.336;0.367;0.344;0.256;0.02;0.021;0.214;0.151;0.0;0.145;0.446;0.405;0.435;0.446;0.344;0.345;1.0;0.947;0.961;0.104;0.21;0.983;1.0;0.468;0.458;0.499;0.482;0.499;0.513;0.51;0.458;0.534;0.518;0.482;0.113;0.042;0.175;0.518;0.534;0.175
ENST00000503865_90_90;0.387;0.357;0.062;0.377;0.383;1.0;0.0;0.383;0.853;0.0;0.718;0.213;0.17;0.026;0.168;0.0;0.169;0.213;0.168;0.026;0.01;0.0;0.0;0.321;0.0;0.0;0.37;0.373;0.358;0.37;0.2;0.201;0.387;0.409;0.397;0.001;0.0;0.381;0.387;0.297;0.285;0.337;0.315;0.337;0.355;0.351;0.285;0.37;0.357;0.373;0.0;0.0;0.0;0.357;0.37;0.0
ENST00000509665_90_90;0.111;0.0;0.103;0.109;0.111;0.0;1.0;0.111;0.0;0.714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111;0.117;0.114;0.0;0.527;0.109;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;1.0;0.571;0.511;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.367;0.333;0.256;0.344;0.214;0.336;0.367;0.344;0.256;0.02;0.021;0.214;0.151;0.0;0.145;0.446;0.405;0.435;0.446;0.344;0.345;1.0;0.947;0.961;0.104;0.21;0.983;1.0;0.468;0.458;0.499;0.482;0.499;0.513;0.51;0.458;0.534;0.518;0.482;0.113;0.042;0.175;0.518;0.534;0.175
ENST00000513137_90_90;0.44;0.409;0.102;0.432;0.439;0.853;0.0;0.439;1.0;0.0;0.661;0.245;0.203;0.07;0.215;0.0;0.204;0.245;0.215;0.07;0.044;0.0;0.0;0.328;0.0;0.0;0.423;0.368;0.409;0.423;0.267;0.269;0.439;0.386;0.455;0.107;0.0;0.432;0.439;0.349;0.336;0.388;0.366;0.388;0.406;0.402;0.336;0.423;0.409;0.367;0.0;0.0;0.0;0.409;0.423;0.0
ENST00000515009_90_90;0.155;0.0;0.145;0.152;0.155;0.0;0.714;0.155;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.155;0.164;0.159;0.0;0.738;0.152;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
