;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.554;0.922;0.804;0.853;0.103;0.022;0.0;0.029;0.354;0.09;0.0
ENST00000370183_90_90;0.554;1.0;0.554;0.428;0.522;0.098;0.0;0.0;0.0;0.56;0.168;0.0
ENST00000370187_90_90;0.922;0.554;1.0;0.875;0.928;0.122;0.041;0.0;0.048;0.379;0.09;0.0
ENST00000393441_90_90;0.804;0.428;0.875;1.0;0.803;0.09;0.047;0.0;0.057;0.271;0.069;0.0
ENST00000408038_90_90;0.853;0.522;0.928;0.803;1.0;0.13;0.042;0.0;0.052;0.406;0.098;0.0
ENSMUST00000065601_90_90;0.103;0.098;0.122;0.09;0.13;1.0;0.803;0.129;0.3;0.177;0.153;0.585
ENSMUST00000111936_90_90;0.022;0.0;0.041;0.047;0.042;0.803;1.0;0.173;0.41;0.071;0.0;0.695
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;0.129;0.173;1.0;0.274;0.0;0.0;0.304
ENSMUST00000223764_90_90;0.029;0.0;0.048;0.057;0.052;0.3;0.41;0.274;1.0;0.101;0.0;0.234
ENSMUST00000224102_90_90;0.354;0.56;0.379;0.271;0.406;0.177;0.071;0.0;0.101;1.0;0.189;0.0
ENSMUST00000224318_90_90;0.09;0.168;0.09;0.069;0.098;0.153;0.0;0.0;0.0;0.189;1.0;0.0
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;0.585;0.695;0.304;0.234;0.0;0.0;1.0
