;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.986;0.859;0.341;0.294;0.341;0.294;0.284;0.275;0.719;0.619;0.719;0.222
ENST00000278422_90_90;0.986;1.0;0.872;0.348;0.278;0.348;0.278;0.291;0.281;0.571;0.495;0.571;0.217
ENST00000378312_90_90;0.859;0.872;1.0;0.399;0.288;0.399;0.288;0.333;0.322;0.469;0.391;0.469;0.092
ENST00000524972_90_90;0.341;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.053;0.013;0.053;0.015
ENST00000525035_90_90;0.294;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.04;0.044;0.04;0.089
ENST00000528110_90_90;0.341;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.053;0.013;0.053;0.015
ENST00000529403_90_90;0.294;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.04;0.044;0.04;0.089
ENST00000530114_90_90;0.284;0.291;0.333;0.789;0.708;0.789;0.708;1.0;0.962;0.007;0.008;0.007;0.0
ENST00000533602_90_90;0.275;0.281;0.322;0.804;0.72;0.804;0.72;0.962;1.0;0.0;0.0;0.0;0.0
ENSMUST00000053664_90_90;0.719;0.571;0.469;0.053;0.04;0.053;0.04;0.007;0.0;1.0;0.871;1.0;0.272
ENSMUST00000111664_90_90;0.619;0.495;0.391;0.013;0.044;0.013;0.044;0.008;0.0;0.871;1.0;0.871;0.313
ENSMUST00000111665_90_90;0.719;0.571;0.469;0.053;0.04;0.053;0.04;0.007;0.0;1.0;0.871;1.0;0.272
ENSMUST00000152149_90_90;0.222;0.217;0.092;0.015;0.089;0.015;0.089;0.0;0.0;0.272;0.313;0.272;1.0
