;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.688;0.875;0.25;0.176;0.824;0.529;0.647;0.471;0.824;0.706;0.278;0.588;0.333
ENST00000331224_90_90;0.688;1.0;0.8;0.417;0.308;0.556;0.533;0.667;0.467;0.556;0.625;0.25;0.6;0.214
ENST00000341267_90_90;0.875;0.8;1.0;0.333;0.25;0.722;0.444;0.556;0.389;0.722;0.611;0.211;0.5;0.333
ENST00000392848_90_90;0.25;0.417;0.333;1.0;0.667;0.167;0.231;0.2;0.25;0.167;0.188;0.182;0.214;0.0
ENST00000556051_90_90;0.176;0.308;0.25;0.667;1.0;0.105;0.143;0.125;0.154;0.105;0.118;0.083;0.133;0.0
ENSMUST00000056110_90_90;0.824;0.556;0.722;0.167;0.105;1.0;0.688;0.812;0.625;1.0;0.875;0.412;0.75;0.312
ENSMUST00000109841_90_90;0.529;0.533;0.444;0.231;0.143;0.688;1.0;0.846;0.909;0.688;0.786;0.583;0.769;0.143
ENSMUST00000109842_90_90;0.647;0.667;0.556;0.2;0.125;0.812;0.846;1.0;0.769;0.812;0.929;0.5;0.923;0.2
ENSMUST00000109843_90_90;0.471;0.467;0.389;0.25;0.154;0.625;0.909;0.769;1.0;0.625;0.714;0.636;0.833;0.071
ENSMUST00000109844_90_90;0.824;0.556;0.722;0.167;0.105;1.0;0.688;0.812;0.625;1.0;0.875;0.412;0.75;0.312
ENSMUST00000109846_90_90;0.706;0.625;0.611;0.188;0.118;0.875;0.786;0.929;0.714;0.875;1.0;0.467;0.857;0.267
ENSMUST00000124293_90_90;0.278;0.25;0.211;0.182;0.083;0.412;0.583;0.5;0.636;0.412;0.467;1.0;0.538;0.0
ENSMUST00000173539_90_90;0.588;0.6;0.5;0.214;0.133;0.75;0.769;0.923;0.833;0.75;0.857;0.538;1.0;0.133
ENSMUST00000173812_90_90;0.333;0.214;0.333;0.0;0.0;0.312;0.143;0.2;0.071;0.312;0.267;0.0;0.133;1.0
