nucHom;degHom;tsm
1.0;1.0;1.0
0.853;0.769;0.811
0.853;0.833;0.843
0.883;0.909;0.896
0.853;0.833;0.843
0.592;0.5;0.546
0.765;0.727;0.746
0.883;0.909;0.896
0.853;0.833;0.843
0.883;0.909;0.896
0.516;0.5;0.508
0.853;0.833;0.843
0.765;0.727;0.746
0.765;0.727;0.746
0.853;0.769;0.811
1.0;1.0;1.0
0.994;1.0;0.997
0.96;0.917;0.939
0.994;1.0;0.997
0.734;0.667;0.701
0.847;0.75;0.798
0.96;0.917;0.939
0.994;1.0;0.997
0.96;0.917;0.939
0.443;0.417;0.43
0.994;1.0;0.997
0.847;0.75;0.798
0.847;0.75;0.798
0.853;0.833;0.843
0.994;1.0;0.997
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.739;0.692;0.716
0.853;0.769;0.811
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.44;0.385;0.412
1.0;1.0;1.0
0.853;0.769;0.811
0.853;0.769;0.811
0.883;0.909;0.896
0.96;0.917;0.939
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.705;0.615;0.66
0.883;0.833;0.858
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.456;0.417;0.436
0.966;0.923;0.945
0.883;0.833;0.858
0.883;0.833;0.858
0.853;0.833;0.843
0.994;1.0;0.997
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.739;0.692;0.716
0.853;0.769;0.811
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.44;0.385;0.412
1.0;1.0;1.0
0.853;0.769;0.811
0.853;0.769;0.811
0.592;0.5;0.546
0.734;0.667;0.701
0.739;0.692;0.716
0.705;0.615;0.66
0.739;0.692;0.716
1.0;1.0;1.0
0.592;0.462;0.527
0.705;0.615;0.66
0.739;0.692;0.716
0.705;0.615;0.66
0.427;0.273;0.35
0.739;0.692;0.716
0.592;0.462;0.527
0.592;0.462;0.527
0.765;0.727;0.746
0.847;0.75;0.798
0.853;0.769;0.811
0.883;0.833;0.858
0.853;0.769;0.811
0.592;0.462;0.527
1.0;1.0;1.0
0.883;0.833;0.858
0.853;0.769;0.811
0.883;0.833;0.858
0.477;0.364;0.42
0.853;0.769;0.811
1.0;1.0;1.0
1.0;1.0;1.0
0.883;0.909;0.896
0.96;0.917;0.939
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.705;0.615;0.66
0.883;0.833;0.858
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.456;0.417;0.436
0.966;0.923;0.945
0.883;0.833;0.858
0.883;0.833;0.858
0.853;0.833;0.843
0.994;1.0;0.997
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.739;0.692;0.716
0.853;0.769;0.811
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.44;0.385;0.412
1.0;1.0;1.0
0.853;0.769;0.811
0.853;0.769;0.811
0.883;0.909;0.896
0.96;0.917;0.939
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.705;0.615;0.66
0.883;0.833;0.858
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.456;0.417;0.436
0.966;0.923;0.945
0.883;0.833;0.858
0.883;0.833;0.858
0.516;0.5;0.508
0.443;0.417;0.43
0.44;0.385;0.412
0.456;0.417;0.436
0.44;0.385;0.412
0.427;0.273;0.35
0.477;0.364;0.42
0.456;0.417;0.436
0.44;0.385;0.412
0.456;0.417;0.436
1.0;1.0;1.0
0.44;0.385;0.412
0.477;0.364;0.42
0.477;0.364;0.42
0.853;0.833;0.843
0.994;1.0;0.997
1.0;1.0;1.0
0.966;0.923;0.945
1.0;1.0;1.0
0.739;0.692;0.716
0.853;0.769;0.811
0.966;0.923;0.945
1.0;1.0;1.0
0.966;0.923;0.945
0.44;0.385;0.412
1.0;1.0;1.0
0.853;0.769;0.811
0.853;0.769;0.811
0.765;0.727;0.746
0.847;0.75;0.798
0.853;0.769;0.811
0.883;0.833;0.858
0.853;0.769;0.811
0.592;0.462;0.527
1.0;1.0;1.0
0.883;0.833;0.858
0.853;0.769;0.811
0.883;0.833;0.858
0.477;0.364;0.42
0.853;0.769;0.811
1.0;1.0;1.0
1.0;1.0;1.0
0.765;0.727;0.746
0.847;0.75;0.798
0.853;0.769;0.811
0.883;0.833;0.858
0.853;0.769;0.811
0.592;0.462;0.527
1.0;1.0;1.0
0.883;0.833;0.858
0.853;0.769;0.811
0.883;0.833;0.858
0.477;0.364;0.42
0.853;0.769;0.811
1.0;1.0;1.0
1.0;1.0;1.0
