;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.471;0.408;0.471;0.453;0.471;0.471;0.989;0.989;0.989;0.989;0.989
ENST00000422393_90_90;0.471;1.0;0.791;0.963;0.877;0.934;0.932;0.46;0.458;0.46;0.455;0.453
ENST00000433491_90_90;0.408;0.791;1.0;0.821;0.901;0.738;0.737;0.363;0.416;0.363;0.359;0.41
ENST00000434483_90_90;0.471;0.963;0.821;1.0;0.91;0.9;0.898;0.443;0.466;0.443;0.438;0.461
ENST00000443502_90_90;0.453;0.877;0.901;0.91;1.0;0.819;0.817;0.403;0.461;0.403;0.398;0.456
ENST00000455268_90_90;0.471;0.934;0.738;0.9;0.819;1.0;0.998;0.492;0.442;0.492;0.487;0.437
ENST00000494475_90_90;0.471;0.932;0.737;0.898;0.817;0.998;1.0;0.493;0.442;0.493;0.489;0.437
ENST00000612423_90_90;0.989;0.46;0.363;0.443;0.403;0.492;0.493;1.0;0.874;1.0;0.995;0.869
ENST00000619236_90_90;0.989;0.458;0.416;0.466;0.461;0.442;0.442;0.874;1.0;0.874;0.869;0.994
ENST00000621218_90_90;0.989;0.46;0.363;0.443;0.403;0.492;0.493;1.0;0.874;1.0;0.995;0.869
ENSMUST00000033800_90_90;0.989;0.455;0.359;0.438;0.398;0.487;0.489;0.995;0.869;0.995;1.0;0.874
ENSMUST00000113085_90_90;0.989;0.453;0.41;0.461;0.456;0.437;0.437;0.869;0.994;0.869;0.874;1.0
