;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.875;0.783;0.913;0.391;0.217;0.667;0.875;0.833;0.417;0.292
ENSCAFT00000044299_90_90;0.875;1.0;0.9;0.783;0.45;0.25;0.762;0.909;0.952;0.476;0.217
ENST00000356634_90_90;0.783;0.9;1.0;0.833;0.455;0.227;0.7;0.81;0.85;0.474;0.238
ENST00000400181_90_90;0.913;0.783;0.833;1.0;0.385;0.192;0.583;0.75;0.708;0.391;0.364
ENST00000465864_90_90;0.391;0.45;0.455;0.385;1.0;0.267;0.471;0.381;0.4;0.583;0.062
ENST00000494920_90_90;0.217;0.25;0.227;0.192;0.267;1.0;0.312;0.25;0.263;0.071;0.0
ENSMUST00000046846_90_90;0.667;0.762;0.7;0.583;0.471;0.312;1.0;0.773;0.81;0.45;0.19
ENSMUST00000105847_90_90;0.875;0.909;0.81;0.75;0.381;0.25;0.773;1.0;0.955;0.417;0.2
ENSMUST00000116273_90_90;0.833;0.952;0.85;0.708;0.4;0.263;0.81;0.955;1.0;0.435;0.208
ENSMUST00000155354_90_90;0.417;0.476;0.474;0.391;0.583;0.071;0.45;0.417;0.435;1.0;0.25
ENSMUST00000170979_90_90;0.292;0.217;0.238;0.364;0.062;0.0;0.19;0.2;0.208;0.25;1.0
