transcript;gene
transcript10_ENSHGLG00100003156;ENSHGLG00100003156
transcript17_ENSHGLG00100003156;ENSHGLG00100003156
transcript20_ENSHGLG00100003156;ENSHGLG00100003156
transcript13_ENSHGLG00000019563;ENSHGLG00000019563
transcript17_ENSHGLG00000019563;ENSHGLG00000019563
transcript25_ENSHGLG00000019563;ENSHGLG00000019563
transcript26_ENSHGLG00000019563;ENSHGLG00000019563
transcript27_ENSHGLG00000019563;ENSHGLG00000019563
transcript0_ENSHGLG00100006079;ENSHGLG00100006079
transcript13_ENSHGLG00100006079;ENSHGLG00100006079
transcript20_ENSHGLG00100006079;ENSHGLG00100006079
transcript21_ENSHGLG00100006079;ENSHGLG00100006079
transcript22_ENSHGLG00100006079;ENSHGLG00100006079
transcript0_ENSMUNG00000002391;ENSMUNG00000002391
transcript21_ENSMUNG00000002391;ENSMUNG00000002391
transcript22_ENSMUNG00000002391;ENSMUNG00000002391
transcript8_ENSAPOG00000016134;ENSAPOG00000016134
transcript10_ENSAPOG00000016134;ENSAPOG00000016134
transcript12_ENSAPOG00000016134;ENSAPOG00000016134
transcript17_ENSAPOG00000016134;ENSAPOG00000016134
transcript20_ENSAPOG00000016134;ENSAPOG00000016134
transcript7_ENSAPOG00000023408;ENSAPOG00000023408
transcript12_ENSAPOG00000023408;ENSAPOG00000023408
transcript22_ENSAPOG00000023408;ENSAPOG00000023408
transcript23_ENSAPOG00000023408;ENSAPOG00000023408
transcript24_ENSAPOG00000023408;ENSAPOG00000023408
transcript0_ENSPNYG00000024266;ENSPNYG00000024266
transcript0_ENSXMAG00000026005;ENSXMAG00000026005
