;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.974;0.827;0.921;0.917;0.897;0.928;0.871;1.0;0.69;0.974;0.884;0.827;0.831;0.776;0.677;0.805;0.896;0.698;0.974;0.878;0.91;0.928;0.871;0.896
transcript27_ENSAPOG00000016134;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.712;1.0;0.863;0.851;0.811;0.799;0.702;0.829;0.92;0.722;1.0;0.903;0.937;0.954;0.896;0.92
transcript32_ENSAPOG00000016134;0.827;0.851;1.0;0.906;0.799;0.78;0.808;0.754;0.827;0.673;0.851;0.825;1.0;0.772;0.943;0.835;0.977;0.881;0.649;0.851;0.863;0.793;0.808;0.754;0.881
transcript33_ENSAPOG00000016134;0.921;0.945;0.906;1.0;0.892;0.873;0.903;0.849;0.921;0.765;0.945;0.918;0.906;0.867;0.855;0.756;0.884;0.972;0.741;0.945;0.957;0.886;0.903;0.849;0.972
transcript35_ENSAPOG00000016134;0.917;0.943;0.799;0.892;1.0;0.867;0.897;0.84;0.917;0.746;0.943;0.81;0.799;0.759;0.747;0.649;0.776;0.869;0.72;0.943;0.85;0.88;0.897;0.84;0.869
transcript36_ENSAPOG00000016134;0.897;0.923;0.78;0.873;0.867;1.0;0.968;0.97;0.897;0.714;0.923;0.791;0.78;0.74;0.728;0.677;0.758;0.851;0.724;0.923;0.913;0.861;0.968;0.97;0.851
transcript37_ENSAPOG00000016134;0.928;0.954;0.808;0.903;0.897;0.968;1.0;0.939;0.928;0.744;0.954;0.821;0.808;0.768;0.756;0.658;0.786;0.878;0.754;0.954;0.943;0.891;1.0;0.939;0.878
transcript38_ENSAPOG00000016134;0.871;0.896;0.754;0.849;0.84;0.97;0.939;1.0;0.871;0.69;0.896;0.766;0.754;0.715;0.703;0.651;0.732;0.826;0.698;0.896;0.886;0.833;0.939;1.0;0.826
transcript7_ENSAPOG00000023408;1.0;0.974;0.827;0.921;0.917;0.897;0.928;0.871;1.0;0.69;0.974;0.884;0.827;0.831;0.776;0.677;0.805;0.896;0.698;0.974;0.878;0.91;0.928;0.871;0.896
transcript8_ENSAPOG00000023408;0.69;0.712;0.673;0.765;0.746;0.714;0.744;0.69;0.69;1.0;0.712;0.685;0.673;0.635;0.623;0.527;0.686;0.792;0.912;0.712;0.798;0.752;0.744;0.69;0.792
transcript27_ENSAPOG00000023408;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.712;1.0;0.863;0.851;0.811;0.799;0.702;0.829;0.92;0.722;1.0;0.903;0.937;0.954;0.896;0.92
transcript30_ENSAPOG00000023408;0.884;0.863;0.825;0.918;0.81;0.791;0.821;0.766;0.884;0.685;0.863;1.0;0.825;0.944;0.772;0.674;0.802;0.893;0.661;0.863;0.875;0.804;0.821;0.766;0.893
transcript32_ENSAPOG00000023408;0.827;0.851;1.0;0.906;0.799;0.78;0.808;0.754;0.827;0.673;0.851;0.825;1.0;0.772;0.943;0.835;0.977;0.881;0.649;0.851;0.863;0.793;0.808;0.754;0.881
transcript40_ENSAPOG00000023408;0.831;0.811;0.772;0.867;0.759;0.74;0.768;0.715;0.831;0.635;0.811;0.944;0.772;1.0;0.815;0.622;0.75;0.843;0.611;0.811;0.823;0.753;0.768;0.715;0.843
transcript41_ENSAPOG00000023408;0.776;0.799;0.943;0.855;0.747;0.728;0.756;0.703;0.776;0.623;0.799;0.772;0.943;0.815;1.0;0.778;0.919;0.83;0.599;0.799;0.811;0.741;0.756;0.703;0.83
transcript42_ENSAPOG00000023408;0.677;0.702;0.835;0.756;0.649;0.677;0.658;0.651;0.677;0.527;0.702;0.674;0.835;0.622;0.778;1.0;0.812;0.735;0.539;0.702;0.713;0.643;0.658;0.651;0.735
transcript43_ENSAPOG00000023408;0.805;0.829;0.977;0.884;0.776;0.758;0.786;0.732;0.805;0.686;0.829;0.802;0.977;0.75;0.919;0.812;1.0;0.859;0.662;0.829;0.841;0.81;0.786;0.732;0.859
transcript1_ENSAOCG00000015695;0.896;0.92;0.881;0.972;0.869;0.851;0.878;0.826;0.896;0.792;0.92;0.893;0.881;0.843;0.83;0.735;0.859;1.0;0.768;0.92;0.931;0.864;0.878;0.826;1.0
transcript8_ENSAOCG00000015695;0.698;0.722;0.649;0.741;0.72;0.724;0.754;0.698;0.698;0.912;0.722;0.661;0.649;0.611;0.599;0.539;0.662;0.768;1.0;0.722;0.774;0.764;0.754;0.698;0.768
transcript25_ENSAOCG00000015695;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.712;1.0;0.863;0.851;0.811;0.799;0.702;0.829;0.92;0.722;1.0;0.903;0.937;0.954;0.896;0.92
transcript26_ENSAOCG00000015695;0.878;0.903;0.863;0.957;0.85;0.913;0.943;0.886;0.878;0.798;0.903;0.875;0.863;0.823;0.811;0.713;0.841;0.931;0.774;0.903;1.0;0.844;0.943;0.886;0.931
