;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.168;0.197;0.272;0.174;0.158;0.161;0.174;0.259;0.127;0.142;0.158;0.189;0.855;0.996;0.95;0.074;0.683;0.584;0.519;0.328;0.305;0.409;0.561
ENST00000391851_90_90;0.168;1.0;0.951;0.534;0.455;0.582;0.16;0.453;0.29;0.921;0.03;0.586;0.807;0.184;0.168;0.173;0.0;0.195;0.069;0.165;0.243;0.0;0.023;0.199
ENST00000454376_90_90;0.197;0.951;1.0;0.581;0.433;0.553;0.152;0.431;0.276;0.876;0.076;0.558;0.768;0.216;0.197;0.203;0.0;0.188;0.067;0.183;0.233;0.0;0.022;0.237
ENST00000524771_90_90;0.272;0.534;0.581;1.0;0.676;0.697;0.235;0.673;0.427;0.478;0.096;0.693;0.452;0.306;0.272;0.283;0.0;0.238;0.11;0.283;0.349;0.0;0.052;0.371
ENST00000526224_90_90;0.174;0.455;0.433;0.676;1.0;0.782;0.226;0.996;0.482;0.494;0.0;0.776;0.453;0.197;0.174;0.181;0.0;0.234;0.031;0.171;0.386;0.0;0.0;0.271
ENST00000527382_90_90;0.158;0.582;0.553;0.697;0.782;1.0;0.182;0.779;0.387;0.632;0.0;0.992;0.396;0.177;0.158;0.164;0.0;0.207;0.028;0.149;0.316;0.0;0.0;0.235
ENST00000528623_90_90;0.161;0.16;0.152;0.235;0.226;0.182;1.0;0.227;0.576;0.119;0.0;0.18;0.197;0.188;0.161;0.169;0.0;0.235;0.127;0.308;0.483;0.0;0.0;0.286
ENST00000529284_90_90;0.174;0.453;0.431;0.673;0.996;0.779;0.227;1.0;0.484;0.492;0.0;0.773;0.454;0.197;0.174;0.181;0.0;0.235;0.031;0.172;0.387;0.0;0.0;0.272
ENST00000529836_90_90;0.259;0.29;0.276;0.427;0.482;0.387;0.576;0.484;1.0;0.254;0.0;0.384;0.357;0.301;0.259;0.272;0.0;0.374;0.107;0.312;0.744;0.0;0.0;0.452
ENST00000532489_90_90;0.127;0.921;0.876;0.478;0.494;0.632;0.119;0.492;0.254;1.0;0.0;0.637;0.728;0.139;0.127;0.131;0.0;0.157;0.021;0.111;0.214;0.0;0.0;0.173
