;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.703;0.686;0.7;0.637;0.703;0.582;0.481;0.746;0.746;0.746;0.662;0.617;0.676;0.823
transcript6_ENSECAG00000007947;0.703;1.0;0.966;0.721;0.882;1.0;0.807;0.481;0.755;0.755;0.755;0.659;0.591;0.699;0.844
transcript7_ENSECAG00000007947;0.686;0.966;1.0;0.743;0.849;0.966;0.773;0.451;0.727;0.727;0.727;0.642;0.562;0.669;0.816
transcript7_ENSMLUG00000027828;0.7;0.721;0.743;1.0;0.657;0.721;0.627;0.587;0.79;0.79;0.79;0.706;0.637;0.746;0.865
transcript19_ENSECAG00000007947;0.637;0.882;0.849;0.657;1.0;0.882;0.914;0.408;0.84;0.84;0.84;0.734;0.659;0.779;0.745
transcript20_ENSECAG00000007947;0.703;1.0;0.966;0.721;0.882;1.0;0.807;0.481;0.755;0.755;0.755;0.659;0.591;0.699;0.844
transcript21_ENSECAG00000007947;0.582;0.807;0.773;0.627;0.914;0.807;1.0;0.438;0.768;0.768;0.768;0.661;0.653;0.841;0.681
transcript13_ENSMLUG00000027828;0.481;0.481;0.451;0.587;0.408;0.481;0.438;1.0;0.471;0.471;0.471;0.435;0.416;0.52;0.553
transcript15_ENSCGRG00015005362;0.746;0.755;0.727;0.79;0.84;0.755;0.768;0.471;1.0;1.0;1.0;0.88;0.792;0.896;0.887
transcript15_ENSCGRG00000018457;0.746;0.755;0.727;0.79;0.84;0.755;0.768;0.471;1.0;1.0;1.0;0.88;0.792;0.896;0.887
transcript15_ENSCGRG00001010245;0.746;0.755;0.727;0.79;0.84;0.755;0.768;0.471;1.0;1.0;1.0;0.88;0.792;0.896;0.887
transcript15_ENSPEMG00000024651;0.662;0.659;0.642;0.706;0.734;0.659;0.661;0.435;0.88;0.88;0.88;1.0;0.699;0.776;0.78
transcript15_ENSSTOG00000019743;0.617;0.591;0.562;0.637;0.659;0.591;0.653;0.416;0.792;0.792;0.792;0.699;1.0;0.758;0.702
transcript36_ENSCGRG00000018457;0.676;0.699;0.669;0.746;0.779;0.699;0.841;0.52;0.896;0.896;0.896;0.776;0.758;1.0;0.794
transcript25_ENSCPOG00000024843;0.823;0.844;0.816;0.865;0.745;0.844;0.681;0.553;0.887;0.887;0.887;0.78;0.702;0.794;1.0
