;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;;0.861;0.699;0.256;0.18;0.256;0.18;0.175;0.153;0.514;0.473;0.514;0.247
ENST00000278422_90_90;0.861;;;;;;;;;0.539;0.459;0.539;0.258
ENST00000378312_90_90;0.699;;;;;;;;;0.41;0.322;0.41;0.102
ENST00000524972_90_90;0.256;;;;;;;;;0.079;0.055;0.079;0.029
ENST00000525035_90_90;0.18;;;;;;;;;0.084;0.102;0.084;0.156
ENST00000528110_90_90;0.256;;;;;;;;;0.079;0.055;0.079;0.029
ENST00000529403_90_90;0.18;;;;;;;;;0.084;0.102;0.084;0.156
ENST00000530114_90_90;0.175;;;;;;;;;0.017;0.021;0.017;0.0
ENST00000533602_90_90;0.153;;;;;;;;;0.0;0.0;0.0;0.0
ENSMUST00000053664_90_90;0.514;0.539;0.41;0.079;0.084;0.079;0.084;0.017;0.0;;;;
ENSMUST00000111664_90_90;0.473;0.459;0.322;0.055;0.102;0.055;0.102;0.021;0.0;;;;
ENSMUST00000111665_90_90;0.514;0.539;0.41;0.079;0.084;0.079;0.084;0.017;0.0;;;;
ENSMUST00000152149_90_90;0.247;0.258;0.102;0.029;0.156;0.029;0.156;0.0;0.0;;;;
