;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.842;0.684;0.789;0.842;0.789;0.895;0.842;0.737;0.368;0.895;0.263;0.105;0.684;0.842;0.421;0.947;0.842;0.842;0.737;0.895;0.474;0.105;0.421;0.789;0.947
ENST00000242066_90_90;0.842;1.0;0.545;0.636;1.0;0.85;0.95;0.783;0.667;0.4;0.95;0.3;0.158;0.619;0.773;0.273;0.895;0.619;0.789;0.524;0.944;0.588;0.176;0.4;0.65;0.895
ENST00000399357_90_90;0.684;0.545;1.0;0.882;0.545;0.5;0.591;0.542;0.824;0.143;0.591;0.1;0.0;0.765;0.458;0.6;0.571;0.824;0.476;0.933;0.524;0.2;0.0;0.19;0.765;0.571
ENST00000403527_90_90;0.789;0.636;0.882;1.0;0.636;0.591;0.682;0.625;0.941;0.182;0.682;0.091;0.0;0.882;0.542;0.529;0.667;0.941;0.571;0.824;0.619;0.3;0.0;0.286;0.882;0.667
ENST00000403685_90_90;0.842;1.0;0.545;0.636;1.0;0.85;0.95;0.783;0.667;0.4;0.95;0.3;0.158;0.619;0.773;0.273;0.895;0.619;0.789;0.524;0.944;0.588;0.176;0.4;0.65;0.895
ENST00000405192_90_90;0.789;0.85;0.5;0.591;0.85;1.0;0.9;0.739;0.545;0.5;0.9;0.389;0.167;0.5;0.727;0.286;0.842;0.571;0.941;0.476;0.789;0.625;0.188;0.5;0.524;0.842
ENST00000405218_90_90;0.895;0.95;0.591;0.682;0.95;0.9;1.0;0.826;0.636;0.45;1.0;0.35;0.15;0.591;0.818;0.318;0.947;0.667;0.842;0.571;0.895;0.556;0.167;0.45;0.619;0.947
ENST00000405358_90_90;0.842;0.783;0.542;0.625;0.783;0.739;0.826;1.0;0.583;0.348;0.826;0.261;0.087;0.542;0.68;0.292;0.81;0.636;0.714;0.545;0.762;0.45;0.1;0.579;0.591;0.81
ENST00000420159_90_90;0.737;0.667;0.824;0.941;0.667;0.545;0.636;0.583;1.0;0.136;0.636;0.045;0.0;0.938;0.5;0.471;0.619;0.882;0.524;0.765;0.65;0.316;0.0;0.238;0.938;0.619
ENST00000421381_90_90;0.368;0.4;0.143;0.182;0.4;0.5;0.45;0.348;0.136;1.0;0.45;0.778;0.333;0.143;0.45;0.2;0.421;0.19;0.471;0.15;0.368;0.636;0.375;0.583;0.143;0.421
ENST00000430479_90_90;0.895;0.95;0.591;0.682;0.95;0.9;1.0;0.826;0.636;0.45;1.0;0.35;0.15;0.591;0.818;0.318;0.947;0.667;0.842;0.571;0.895;0.556;0.167;0.45;0.619;0.947
ENST00000431887_90_90;0.263;0.3;0.1;0.091;0.3;0.389;0.35;0.261;0.045;0.778;0.35;1.0;0.429;0.048;0.35;0.143;0.316;0.095;0.353;0.105;0.263;0.455;0.5;0.417;0.048;0.316
ENST00000433547_90_90;0.105;0.158;0.0;0.0;0.158;0.167;0.15;0.087;0.0;0.333;0.15;0.429;1.0;0.0;0.15;0.0;0.158;0.0;0.176;0.0;0.167;0.3;1.0;0.167;0.0;0.158
ENST00000438956_90_90;0.684;0.619;0.765;0.882;0.619;0.5;0.591;0.542;0.938;0.143;0.591;0.048;0.0;1.0;0.522;0.5;0.571;0.824;0.476;0.706;0.6;0.333;0.0;0.25;0.875;0.571
ENST00000443137_90_90;0.842;0.773;0.458;0.542;0.773;0.727;0.818;0.68;0.5;0.45;0.818;0.35;0.15;0.522;1.0;0.318;0.895;0.619;0.789;0.524;0.842;0.588;0.176;0.474;0.571;0.895
ENST00000443608_90_90;0.421;0.273;0.6;0.529;0.273;0.286;0.318;0.292;0.471;0.2;0.318;0.143;0.0;0.5;0.318;1.0;0.333;0.529;0.3;0.6;0.286;0.267;0.0;0.25;0.471;0.333
ENSMUST00000095767_90_90;0.947;0.895;0.571;0.667;0.895;0.842;0.947;0.81;0.619;0.421;0.947;0.316;0.158;0.571;0.895;0.333;1.0;0.682;0.9;0.591;0.95;0.55;0.15;0.435;0.636;1.0
ENSMUST00000159334_90_90;0.842;0.619;0.824;0.941;0.619;0.571;0.667;0.636;0.882;0.19;0.667;0.095;0.0;0.824;0.619;0.529;0.682;1.0;0.591;0.882;0.636;0.273;0.0;0.25;0.941;0.682
