;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.998;0.999;0.188;0.051;0.999;0.342;0.998;0.342;0.108;0.314
ENST00000348628_90_90;0.998;1.0;0.978;0.19;0.051;0.978;0.342;1.0;0.335;0.1;0.315
ENST00000398376_90_90;0.999;0.978;1.0;0.185;0.05;1.0;0.335;0.978;0.357;0.098;0.308
ENST00000510347_90_90;0.188;0.19;0.185;1.0;0.0;0.185;0.0;0.19;0.0;0.382;0.409
ENST00000515758_90_90;0.051;0.051;0.05;0.0;1.0;0.05;0.0;0.051;0.0;0.0;0.162
ENSMUST00000025519_90_90;0.999;0.978;1.0;0.185;0.05;1.0;0.318;0.978;0.34;0.096;0.293
ENSMUST00000039904_90_90;0.342;0.342;0.335;0.0;0.0;0.318;1.0;0.325;0.945;0.0;0.0
ENSMUST00000102888_90_90;0.998;1.0;0.978;0.19;0.051;0.978;0.325;1.0;0.318;0.098;0.299
ENSMUST00000115295_90_90;0.342;0.335;0.357;0.0;0.0;0.34;0.945;0.318;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.108;0.1;0.098;0.382;0.0;0.096;0.0;0.098;0.0;1.0;0.125
ENSMUST00000137805_90_90;0.314;0.315;0.308;0.409;0.162;0.293;0.0;0.299;0.0;0.125;1.0
