;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;;0.179;0.197;0.196;0.227;0.179;0.181;0.229;0.227;0.267;0.082;0.264;0.154;0.147;0.165;0.08;0.087;0.177;0.203;0.203;0.227;0.197;0.179;0.229;0.181;0.318;0.359;0.461;0.461;0.253;0.185
ENSCAFT00000010587_90_90;0.179;;0.82;0.526;0.865;1.0;0.889;0.772;0.865;0.3;0.272;0.307;0.394;0.344;0.42;0.317;0.275;0.175;0.334;0.334;0.865;0.82;1.0;0.772;0.889;0.264;0.269;0.107;0.107;0.295;0.317
ENST00000360332_90_90;0.197;0.82;;;;;;;;;;;0.318;0.322;0.34;0.232;0.289;0.215;0.402;0.402;0.706;1.0;0.82;0.714;0.832;0.246;0.251;0.123;0.123;0.281;0.305
ENST00000374174_90_90;0.196;0.526;;;;;;;;;;;0.402;0.409;0.435;0.3;0.398;0.306;0.557;0.557;0.469;0.637;0.526;0.475;0.533;0.089;0.092;0.0;0.0;0.1;0.108
ENST00000374176_90_90;0.227;0.865;;;;;;;;;;;0.36;0.314;0.382;0.287;0.247;0.157;0.3;0.3;1.0;0.706;0.865;0.901;0.772;0.307;0.314;0.158;0.158;0.345;0.37
ENST00000374179_90_90;0.179;1.0;;;;;;;;;;;0.394;0.344;0.42;0.317;0.275;0.175;0.334;0.334;0.865;0.82;1.0;0.772;0.889;0.264;0.269;0.107;0.107;0.295;0.317
ENST00000374182_90_90;0.181;0.889;;;;;;;;;;;0.376;0.325;0.401;0.297;0.299;0.177;0.338;0.338;0.772;0.832;0.889;0.863;1.0;0.238;0.242;0.108;0.108;0.266;0.287
ENST00000374189_90_90;0.229;0.772;;;;;;;;;;;0.344;0.297;0.365;0.27;0.268;0.159;0.303;0.303;0.901;0.714;0.772;1.0;0.863;0.282;0.287;0.16;0.16;0.317;0.34
ENST00000395611_90_90;0.227;0.865;;;;;;;;;;;0.36;0.314;0.382;0.287;0.247;0.157;0.3;0.3;1.0;0.706;0.865;0.901;0.772;0.307;0.314;0.158;0.158;0.345;0.37
ENST00000426557_90_90;0.267;0.3;;;;;;;;;;;0.268;0.272;0.297;0.14;0.208;0.544;0.472;0.472;0.268;0.368;0.3;0.27;0.303;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429041_90_90;0.082;0.272;;;;;;;;;;;0.21;0.213;0.229;0.263;0.411;0.093;0.352;0.352;0.242;0.331;0.272;0.245;0.276;0.087;0.09;0.0;0.0;0.101;0.112
ENST00000432379_90_90;0.264;0.307;;;;;;;;;;;0.266;0.27;0.294;0.139;0.206;0.53;0.467;0.467;0.274;0.377;0.307;0.277;0.311;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000229794_90_90;0.154;0.394;0.318;0.402;0.36;0.394;0.376;0.344;0.36;0.268;0.21;0.266;;;;;;;;;0.36;0.318;0.394;0.344;0.376;0.077;0.079;0.0;0.0;0.084;0.088
ENST00000229795_90_90;0.147;0.344;0.322;0.409;0.314;0.344;0.325;0.297;0.314;0.272;0.213;0.27;;;;;;;;;0.314;0.322;0.344;0.297;0.325;0.079;0.081;0.0;0.0;0.085;0.09
ENST00000310795_90_90;0.165;0.42;0.34;0.435;0.382;0.42;0.401;0.365;0.382;0.297;0.229;0.294;;;;;;;;;0.382;0.34;0.42;0.365;0.401;0.08;0.082;0.0;0.0;0.087;0.093
ENST00000468133_90_90;0.08;0.317;0.232;0.3;0.287;0.317;0.297;0.27;0.287;0.14;0.263;0.139;;;;;;;;;0.287;0.232;0.317;0.27;0.297;0.089;0.092;0.0;0.0;0.099;0.105
ENST00000472333_90_90;0.087;0.275;0.289;0.398;0.247;0.275;0.299;0.268;0.247;0.208;0.411;0.206;;;;;;;;;0.247;0.289;0.275;0.268;0.299;0.094;0.097;0.0;0.0;0.107;0.117
ENST00000474429_90_90;0.177;0.175;0.215;0.306;0.157;0.175;0.177;0.159;0.157;0.544;0.093;0.53;;;;;;;;;0.157;0.215;0.175;0.159;0.177;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000491957_90_90;0.203;0.334;0.402;0.557;0.3;0.334;0.338;0.303;0.3;0.472;0.352;0.467;;;;;;;;;0.3;0.402;0.334;0.303;0.338;0.045;0.046;0.0;0.0;0.05;0.054
ENST00000622903_90_90;0.203;0.334;0.402;0.557;0.3;0.334;0.338;0.303;0.3;0.472;0.352;0.467;;;;;;;;;0.3;0.402;0.334;0.303;0.338;0.045;0.046;0.0;0.0;0.05;0.054
ENSMUST00000022504_90_90;0.227;0.865;0.706;0.469;1.0;0.865;0.772;0.901;1.0;0.268;0.242;0.274;0.36;0.314;0.382;0.287;0.247;0.157;0.3;0.3;;;;;;0.307;0.314;0.158;0.158;0.345;0.37
ENSMUST00000111942_90_90;0.197;0.82;1.0;0.637;0.706;0.82;0.832;0.714;0.706;0.368;0.331;0.377;0.318;0.322;0.34;0.232;0.289;0.215;0.402;0.402;;;;;;0.246;0.251;0.123;0.123;0.281;0.305
ENSMUST00000111943_90_90;0.179;1.0;0.82;0.526;0.865;1.0;0.889;0.772;0.865;0.3;0.272;0.307;0.394;0.344;0.42;0.317;0.275;0.175;0.334;0.334;;;;;;0.264;0.269;0.107;0.107;0.295;0.317
ENSMUST00000111944_90_90;0.229;0.772;0.714;0.475;0.901;0.772;0.863;1.0;0.901;0.27;0.245;0.277;0.344;0.297;0.365;0.27;0.268;0.159;0.303;0.303;;;;;;0.282;0.287;0.16;0.16;0.317;0.34
ENSMUST00000111945_90_90;0.181;0.889;0.832;0.533;0.772;0.889;1.0;0.863;0.772;0.303;0.276;0.311;0.376;0.325;0.401;0.297;0.299;0.177;0.338;0.338;;;;;;0.238;0.242;0.108;0.108;0.266;0.287
ENSMUST00000004990_90_90;0.318;0.264;0.246;0.089;0.307;0.264;0.238;0.282;0.307;0.0;0.087;0.0;0.077;0.079;0.08;0.089;0.094;0.0;0.045;0.045;0.307;0.246;0.264;0.282;0.238;;;;;;
ENSMUST00000062694_90_90;0.359;0.269;0.251;0.092;0.314;0.269;0.242;0.287;0.314;0.0;0.09;0.0;0.079;0.081;0.082;0.092;0.097;0.0;0.046;0.046;0.314;0.251;0.269;0.287;0.242;;;;;;
ENSMUST00000114752_90_90;0.461;0.107;0.123;0.0;0.158;0.107;0.108;0.16;0.158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.158;0.123;0.107;0.16;0.108;;;;;;
ENSMUST00000114754_90_90;0.461;0.107;0.123;0.0;0.158;0.107;0.108;0.16;0.158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.158;0.123;0.107;0.16;0.108;;;;;;
