;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;1.0;1.0;0.364;0.091;0.75;0.25;0.75;0.25;0.25;0.5
ENST00000348628_90_90;1.0;1.0;0.923;0.417;0.083;0.769;0.25;0.833;0.231;0.167;0.583
ENST00000398376_90_90;1.0;0.923;1.0;0.385;0.077;0.846;0.231;0.769;0.308;0.154;0.538
ENST00000510347_90_90;0.364;0.417;0.385;1.0;0.0;0.333;0.0;0.364;0.0;0.4;0.5
ENST00000515758_90_90;0.091;0.083;0.077;0.0;1.0;0.091;0.0;0.1;0.0;0.0;0.143
ENSMUST00000025519_90_90;0.75;0.769;0.846;0.333;0.091;1.0;0.133;0.923;0.2;0.2;0.467
ENSMUST00000039904_90_90;0.25;0.25;0.231;0.0;0.0;0.133;1.0;0.143;0.8;0.0;0.0
ENSMUST00000102888_90_90;0.75;0.833;0.769;0.364;0.1;0.923;0.143;1.0;0.133;0.214;0.5
ENSMUST00000115295_90_90;0.25;0.231;0.308;0.0;0.0;0.2;0.8;0.133;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.25;0.167;0.154;0.4;0.0;0.2;0.0;0.214;0.0;1.0;0.167
ENSMUST00000137805_90_90;0.5;0.583;0.538;0.5;0.143;0.467;0.0;0.5;0.0;0.167;1.0
