;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.724;0.529;0.702;0.748;0.842;0.665;0.665;0.859;0.842;0.322;0.819;0.882;0.243;0.22;0.163;0.73;0.201;0.507;0.762;0.911;0.784;0.887;0.93;0.958
ENSCAFT00000048577_90_90;0.724;1.0;0.544;0.599;0.85;0.693;0.538;0.538;0.719;0.693;0.288;0.718;0.693;0.194;0.198;0.143;0.877;0.182;0.43;0.912;0.76;0.885;0.786;0.75;0.724
ENSCAFT00000049950_90_90;0.529;0.544;1.0;0.635;0.464;0.491;0.373;0.373;0.49;0.491;0.496;0.479;0.502;0.244;0.341;0.26;0.453;0.297;0.244;0.479;0.56;0.492;0.546;0.516;0.529
ENST00000314177_90_90;0.702;0.599;0.635;1.0;0.73;0.693;0.478;0.478;0.752;0.693;0.414;0.673;0.774;0.385;0.285;0.211;0.708;0.255;0.35;0.67;0.663;0.69;0.646;0.716;0.736
ENST00000338564_90_90;0.748;0.85;0.464;0.73;1.0;0.746;0.552;0.552;0.798;0.746;0.295;0.726;0.822;0.286;0.203;0.146;0.971;0.187;0.441;0.929;0.711;0.956;0.693;0.762;0.784
ENST00000340545_90_90;0.842;0.693;0.491;0.693;0.746;1.0;0.756;0.756;0.891;1.0;0.346;0.967;0.918;0.216;0.238;0.174;0.726;0.216;0.514;0.692;0.843;0.71;0.821;0.819;0.842
ENST00000397620_90_90;0.665;0.538;0.373;0.478;0.552;0.756;1.0;1.0;0.678;0.756;0.476;0.733;0.698;0.042;0.296;0.216;0.537;0.265;0.631;0.537;0.665;0.552;0.648;0.647;0.665
ENST00000397624_90_90;0.665;0.538;0.373;0.478;0.552;0.756;1.0;1.0;0.678;0.756;0.476;0.733;0.698;0.042;0.296;0.216;0.537;0.265;0.631;0.537;0.665;0.552;0.648;0.647;0.665
ENST00000424352_90_90;0.859;0.719;0.49;0.752;0.798;0.891;0.678;0.678;1.0;0.891;0.314;0.921;0.97;0.288;0.215;0.159;0.826;0.196;0.467;0.789;0.821;0.762;0.847;0.921;0.893
ENST00000557796_90_90;0.842;0.693;0.491;0.693;0.746;1.0;0.756;0.756;0.891;1.0;0.346;0.967;0.918;0.216;0.238;0.174;0.726;0.216;0.514;0.692;0.843;0.71;0.821;0.819;0.842
