;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.9;0.713;0.831;0.9;0.869;0.946;0.903;0.786;0.311;0.946;0.23;0.072;0.623;0.782;0.371;0.972;0.858;0.895;0.74;0.927;0.476;0.072;0.438;0.812;0.972
ENST00000242066_90_90;0.9;1.0;0.61;0.719;1.0;0.882;0.956;0.83;0.75;0.31;0.956;0.231;0.101;0.589;0.716;0.272;0.927;0.71;0.851;0.599;0.971;0.544;0.11;0.397;0.74;0.927
ENST00000399357_90_90;0.713;0.61;1.0;0.869;0.61;0.583;0.651;0.617;0.819;0.142;0.651;0.09;0.0;0.641;0.444;0.531;0.64;0.839;0.57;0.966;0.599;0.208;0.0;0.202;0.789;0.64
ENST00000403527_90_90;0.831;0.719;0.869;1.0;0.719;0.692;0.76;0.72;0.95;0.154;0.76;0.081;0.0;0.771;0.546;0.463;0.752;0.97;0.68;0.839;0.71;0.321;0.0;0.311;0.919;0.752
ENST00000403685_90_90;0.9;1.0;0.61;0.719;1.0;0.882;0.956;0.83;0.75;0.31;0.956;0.231;0.101;0.589;0.716;0.272;0.927;0.71;0.851;0.599;0.971;0.544;0.11;0.397;0.74;0.927
ENST00000405192_90_90;0.869;0.882;0.583;0.692;0.882;1.0;0.926;0.803;0.65;0.386;0.926;0.299;0.106;0.496;0.687;0.292;0.896;0.681;0.97;0.57;0.851;0.566;0.116;0.475;0.639;0.896
ENST00000405218_90_90;0.946;0.956;0.651;0.76;0.956;0.926;1.0;0.869;0.719;0.354;1.0;0.275;0.096;0.565;0.756;0.312;0.972;0.752;0.896;0.64;0.927;0.519;0.105;0.44;0.71;0.972
ENST00000405358_90_90;0.903;0.83;0.617;0.72;0.83;0.803;0.869;1.0;0.681;0.28;0.869;0.21;0.048;0.533;0.653;0.295;0.862;0.726;0.79;0.619;0.82;0.438;0.055;0.539;0.685;0.862
ENST00000420159_90_90;0.786;0.75;0.819;0.95;0.75;0.65;0.719;0.681;1.0;0.113;0.719;0.04;0.0;0.813;0.508;0.413;0.71;0.919;0.639;0.789;0.74;0.335;0.0;0.27;0.968;0.71
ENST00000421381_90_90;0.311;0.31;0.142;0.154;0.31;0.386;0.354;0.28;0.113;1.0;0.354;0.776;0.248;0.133;0.393;0.231;0.339;0.158;0.37;0.145;0.293;0.529;0.269;0.495;0.116;0.339
ENST00000430479_90_90;0.946;0.956;0.651;0.76;0.956;0.926;1.0;0.869;0.719;0.354;1.0;0.275;0.096;0.565;0.756;0.312;0.972;0.752;0.896;0.64;0.927;0.519;0.105;0.44;0.71;0.972
ENST00000431887_90_90;0.23;0.231;0.09;0.081;0.231;0.299;0.275;0.21;0.04;0.776;0.275;1.0;0.32;0.047;0.305;0.146;0.258;0.083;0.281;0.093;0.212;0.383;0.355;0.36;0.041;0.258
ENST00000433547_90_90;0.072;0.101;0.0;0.0;0.101;0.106;0.096;0.048;0.0;0.248;0.096;0.32;1.0;0.0;0.102;0.0;0.1;0.0;0.11;0.0;0.106;0.194;1.0;0.093;0.0;0.1
ENST00000438956_90_90;0.623;0.589;0.641;0.771;0.589;0.496;0.565;0.533;0.813;0.133;0.565;0.047;0.0;1.0;0.605;0.503;0.554;0.741;0.483;0.61;0.579;0.41;0.0;0.328;0.781;0.554
ENST00000443137_90_90;0.782;0.716;0.444;0.546;0.716;0.687;0.756;0.653;0.508;0.393;0.756;0.305;0.102;0.605;1.0;0.356;0.809;0.597;0.733;0.486;0.764;0.626;0.117;0.526;0.554;0.809
ENST00000443608_90_90;0.371;0.272;0.531;0.463;0.272;0.292;0.312;0.295;0.413;0.231;0.312;0.146;0.0;0.503;0.356;1.0;0.32;0.463;0.299;0.531;0.278;0.314;0.0;0.3;0.413;0.32
ENSMUST00000095767_90_90;0.972;0.927;0.64;0.752;0.927;0.896;0.972;0.862;0.71;0.339;0.972;0.258;0.1;0.554;0.809;0.32;1.0;0.76;0.926;0.651;0.956;0.516;0.096;0.432;0.719;1.0
ENSMUST00000159334_90_90;0.858;0.71;0.839;0.97;0.71;0.681;0.752;0.726;0.919;0.158;0.752;0.083;0.0;0.741;0.597;0.463;0.76;1.0;0.692;0.869;0.719;0.307;0.0;0.293;0.95;0.76
ENSMUST00000160244_90_90;0.895;0.851;0.57;0.68;0.851;0.97;0.896;0.79;0.639;0.37;0.896;0.281;0.11;0.483;0.733;0.299;0.926;0.692;1.0;0.583;0.882;0.559;0.106;0.463;0.65;0.926
ENSMUST00000160701_90_90;0.74;0.599;0.966;0.839;0.599;0.57;0.64;0.619;0.789;0.145;0.64;0.093;0.0;0.61;0.486;0.531;0.651;0.869;0.583;1.0;0.61;0.198;0.0;0.191;0.819;0.651
ENSMUST00000160856_90_90;0.927;0.971;0.599;0.71;0.971;0.851;0.927;0.82;0.74;0.293;0.927;0.212;0.106;0.579;0.764;0.278;0.956;0.719;0.882;0.61;1.0;0.54;0.101;0.393;0.75;0.956
ENSMUST00000160996_90_90;0.476;0.544;0.208;0.321;0.544;0.566;0.519;0.438;0.335;0.529;0.519;0.383;0.194;0.41;0.626;0.314;0.516;0.307;0.559;0.198;0.54;1.0;0.18;0.658;0.32;0.516
ENSMUST00000161164_90_90;0.072;0.11;0.0;0.0;0.11;0.116;0.105;0.055;0.0;0.269;0.105;0.355;1.0;0.0;0.117;0.0;0.096;0.0;0.106;0.0;0.101;0.18;1.0;0.081;0.0;0.096
ENSMUST00000161513_90_90;0.438;0.397;0.202;0.311;0.397;0.475;0.44;0.539;0.27;0.495;0.44;0.36;0.093;0.328;0.526;0.3;0.432;0.293;0.463;0.191;0.393;0.658;0.081;1.0;0.255;0.432
ENSMUST00000161980_90_90;0.812;0.74;0.789;0.919;0.74;0.639;0.71;0.685;0.968;0.116;0.71;0.041;0.0;0.781;0.554;0.413;0.719;0.95;0.65;0.819;0.75;0.32;0.0;0.255;1.0;0.719
ENSMUST00000162563_90_90;0.972;0.927;0.64;0.752;0.927;0.896;0.972;0.862;0.71;0.339;0.972;0.258;0.1;0.554;0.809;0.32;1.0;0.76;0.926;0.651;0.956;0.516;0.096;0.432;0.719;1.0
