;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.787;0.789;0.989;0.819;0.789;0.226;0.702;0.989;0.989
ENSCAFT00000008903_90_90;0.787;1.0;1.0;0.799;0.968;1.0;0.141;0.706;0.823;0.823
ENST00000343600_90_90;0.789;1.0;1.0;0.799;0.968;1.0;0.135;0.706;0.787;0.823
ENST00000345429_90_90;0.989;0.799;0.799;1.0;0.829;0.799;0.226;0.695;0.952;1.0
ENST00000376673_90_90;0.819;0.968;0.968;0.829;1.0;0.968;0.131;0.684;0.787;0.823
ENST00000397601_90_90;0.789;1.0;1.0;0.799;0.968;1.0;0.135;0.706;0.787;0.823
ENST00000449284_90_90;0.226;0.141;0.135;0.226;0.131;0.135;1.0;0.0;0.281;0.232
ENST00000469707_90_90;0.702;0.706;0.706;0.695;0.684;0.706;0.0;1.0;0.684;0.718
ENSMUST00000088419_90_90;0.989;0.823;0.787;0.952;0.787;0.787;0.281;0.684;1.0;0.952
ENSMUST00000167459_90_90;0.989;0.823;0.823;1.0;0.823;0.823;0.232;0.718;0.952;1.0
