;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.935;0.034;0.041;0.034;0.483;0.45;0.068;0.276;0.013;0.185;0.537;0.484;0.051
ENSCAFT00000005583_90_90;0.935;1.0;0.034;0.04;0.033;0.537;0.504;0.065;0.261;0.013;0.176;0.601;0.45;0.049
ENST00000272238_90_90;0.034;0.034;1.0;0.786;0.979;0.168;0.174;0.145;0.192;0.252;0.206;0.0;0.178;0.36
ENST00000381661_90_90;0.041;0.04;0.786;1.0;0.77;0.098;0.102;0.163;0.112;0.152;0.121;0.0;0.105;0.275
ENST00000635370_90_90;0.034;0.033;0.979;0.77;1.0;0.166;0.171;0.142;0.189;0.247;0.203;0.0;0.175;0.353
ENSMUST00000020884_90_90;0.483;0.537;0.168;0.098;0.166;1.0;0.952;0.268;0.594;0.324;0.568;0.628;0.887;0.256
ENSMUST00000095820_90_90;0.45;0.504;0.174;0.102;0.171;0.952;1.0;0.285;0.627;0.345;0.605;0.655;0.933;0.269
ENSMUST00000127185_90_90;0.068;0.065;0.145;0.163;0.142;0.268;0.285;1.0;0.381;0.539;0.472;0.085;0.299;0.347
ENSMUST00000140751_90_90;0.276;0.261;0.192;0.112;0.189;0.594;0.627;0.381;1.0;0.45;0.806;0.303;0.661;0.345
ENSMUST00000143131_90_90;0.013;0.013;0.252;0.152;0.247;0.324;0.345;0.539;0.45;1.0;0.554;0.0;0.363;0.625
ENSMUST00000153090_90_90;0.185;0.176;0.206;0.121;0.203;0.568;0.605;0.472;0.806;0.554;1.0;0.26;0.636;0.408
ENSMUST00000156727_90_90;0.537;0.601;0.0;0.0;0.0;0.628;0.655;0.085;0.303;0.0;0.26;1.0;0.588;0.0
ENSMUST00000221129_90_90;0.484;0.45;0.178;0.105;0.175;0.887;0.933;0.299;0.661;0.363;0.636;0.588;1.0;0.281
ENSMUST00000222103_90_90;0.051;0.049;0.36;0.275;0.353;0.256;0.269;0.347;0.345;0.625;0.408;0.0;0.281;1.0
