;transcript8_ENSMSIG00000000513;transcript47_MGP-SPRETEiJ-G0021131;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript47_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript42_ENSRNOG00000031503;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;0.983;0.58;0.908;0.908;0.802;0.934;1.0;1.0;1.0;1.0;0.993;0.993;0.993;0.993;0.993;1.0
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.964;1.0;0.799;1.0;0.947;0.947;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;1.0;0.983;0.58;0.908;0.908;0.521;0.609;0.637;0.637;0.637;0.637;0.817;0.636;0.817;0.636;0.636;0.637
transcript42_ENSMUSG00000054036;0.983;0.964;0.983;1.0;0.556;0.925;0.89;0.53;0.619;0.624;0.624;0.624;0.624;0.801;0.624;0.801;0.624;0.624;0.624
transcript47_ENSMUSG00000054036;0.58;1.0;0.58;0.556;1.0;0.445;0.649;0.365;0.34;0.343;0.343;0.343;0.343;0.463;0.348;0.463;0.348;0.348;0.343
transcript54_ENSMUSG00000054036;0.908;0.799;0.908;0.925;0.445;1.0;0.808;0.471;0.562;0.569;0.569;0.569;0.569;0.735;0.568;0.735;0.568;0.568;0.569
transcript55_ENSMUSG00000054036;0.908;1.0;0.908;0.89;0.649;0.808;1.0;0.457;0.548;0.569;0.569;0.569;0.569;0.74;0.572;0.74;0.572;0.572;0.569
transcript8_ENSRNOG00000031503;0.802;0.947;0.521;0.53;0.365;0.471;0.457;1.0;0.875;0.772;0.721;0.578;0.68;0.713;0.779;0.721;0.726;0.661;0.852
transcript42_ENSRNOG00000031503;0.934;0.947;0.609;0.619;0.34;0.562;0.548;0.875;1.0;0.862;0.815;0.684;0.777;0.808;0.867;0.815;0.818;0.759;0.936
transcript7_ENSMUGG00000013649;1.0;1.0;0.637;0.624;0.343;0.569;0.569;0.772;0.862;1.0;0.949;0.793;0.903;0.92;0.988;0.927;0.932;0.857;0.916
transcript44_ENSMUGG00000013649;1.0;1.0;0.637;0.624;0.343;0.569;0.569;0.721;0.815;0.949;1.0;0.835;0.952;0.868;0.938;0.875;0.882;0.806;0.869
transcript47_ENSMUGG00000013649;1.0;1.0;0.637;0.624;0.343;0.569;0.569;0.578;0.684;0.793;0.835;1.0;0.787;0.712;0.785;0.72;0.729;0.653;0.726
transcript48_ENSMUGG00000013649;1.0;1.0;0.637;0.624;0.343;0.569;0.569;0.68;0.777;0.903;0.952;0.787;1.0;0.822;0.893;0.83;0.837;0.761;0.827
transcript7_ENSMUGG00000013592;0.993;1.0;0.817;0.801;0.463;0.735;0.74;0.713;0.808;0.92;0.868;0.712;0.822;1.0;0.931;0.992;0.873;0.796;0.858
transcript28_ENSMUGG00000013592;0.993;1.0;0.636;0.624;0.348;0.568;0.572;0.779;0.867;0.988;0.938;0.785;0.893;0.931;1.0;0.938;0.943;0.867;0.923
transcript52_ENSMUGG00000013592;0.993;1.0;0.817;0.801;0.463;0.735;0.74;0.721;0.815;0.927;0.875;0.72;0.83;0.992;0.938;1.0;0.881;0.803;0.865
transcript53_ENSMUGG00000013592;0.993;1.0;0.636;0.624;0.348;0.568;0.572;0.726;0.818;0.932;0.882;0.729;0.837;0.873;0.943;0.881;1.0;0.811;0.871
transcript54_ENSMUGG00000013592;0.993;1.0;0.636;0.624;0.348;0.568;0.572;0.661;0.759;0.857;0.806;0.653;0.761;0.796;0.867;0.803;0.811;1.0;0.801
transcript25_ENSPEMG00000024651;1.0;1.0;0.637;0.624;0.343;0.569;0.569;0.852;0.936;0.916;0.869;0.726;0.827;0.858;0.923;0.865;0.871;0.801;1.0
