;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.545;0.909;0.909;1.0;0.889;0.556;0.222;0.889
ENST00000306107_90_90;1.0;1.0;0.5;0.909;0.909;1.0;0.889;0.556;0.222;0.889
ENST00000465413_90_90;0.545;0.5;1.0;0.417;0.545;0.556;0.444;1.0;0.0;0.444
ENST00000472644_90_90;0.909;0.909;0.417;1.0;0.818;0.889;0.778;0.444;0.25;1.0
ENST00000486979_90_90;0.909;0.909;0.545;0.818;1.0;0.889;0.778;0.625;0.111;0.778
ENSMUST00000023312_90_90;1.0;1.0;0.556;0.889;0.889;1.0;0.769;0.538;0.231;0.917
ENSMUST00000164728_90_90;0.889;0.889;0.444;0.778;0.778;0.769;1.0;0.357;0.25;0.692
ENSMUST00000167115_90_90;0.556;0.556;1.0;0.444;0.625;0.538;0.357;1.0;0.0;0.462
ENSMUST00000168071_90_90;0.222;0.222;0.0;0.25;0.111;0.231;0.25;0.0;1.0;0.25
ENSMUST00000170035_90_90;0.889;0.889;0.444;1.0;0.778;0.917;0.692;0.462;0.25;1.0
