;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.962;0.139;0.92;0.674;0.06;0.097;0.96;1.0;0.96
ENST00000308664_90_90;0.962;1.0;0.123;0.875;0.623;0.06;0.091;0.841;0.962;0.841
ENST00000377685_90_90;0.139;0.123;1.0;0.116;0.0;0.0;0.0;0.129;0.139;0.129
ENST00000539276_90_90;0.92;0.875;0.116;1.0;0.733;0.056;0.086;0.965;0.841;0.965
ENST00000548169_90_90;0.674;0.623;0.0;0.733;1.0;0.086;0.133;0.733;0.623;0.733
ENST00000552636_90_90;0.06;0.06;0.0;0.056;0.086;1.0;0.0;0.056;0.06;0.056
ENST00000553144_90_90;0.097;0.091;0.0;0.086;0.133;0.0;1.0;0.09;0.097;0.09
ENSMUST00000031423_90_90;0.96;0.841;0.129;0.965;0.733;0.056;0.09;1.0;0.857;1.0
ENSMUST00000177974_90_90;1.0;0.962;0.139;0.841;0.623;0.06;0.097;0.857;1.0;0.857
ENSMUST00000179939_90_90;0.96;0.841;0.129;0.965;0.733;0.056;0.09;1.0;0.857;1.0
