;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;1.0;0.882;0.059;1.0;1.0;0.176;0.647;0.235;1.0;1.0;0.889;0.167;0.278;0.222;0.278;0.111
ENST00000361346_90_90;1.0;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;1.0;0.867;0.2;0.294;0.267;0.294;0.133
ENST00000361776_90_90;0.882;0.9;1.0;0.056;0.9;0.9;0.105;0.667;0.19;0.9;0.867;1.0;0.231;0.333;0.308;0.333;0.154
ENST00000372571_90_90;0.059;0.05;0.056;1.0;0.05;0.05;0.0;0.0;0.0;0.05;0.067;0.077;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;1.0;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;1.0;0.867;0.2;0.294;0.267;0.294;0.133
ENST00000372573_90_90;1.0;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;1.0;0.867;0.2;0.294;0.267;0.294;0.133
ENST00000422278_90_90;0.176;0.15;0.105;0.0;0.15;0.15;1.0;0.154;0.0;0.15;0.2;0.143;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.647;0.6;0.667;0.0;0.6;0.6;0.154;1.0;0.267;0.6;0.6;0.692;0.333;0.455;0.444;0.455;0.222
ENST00000454417_90_90;0.235;0.174;0.19;0.0;0.174;0.174;0.0;0.267;1.0;0.174;0.235;0.267;0.286;0.857;0.429;0.857;0.143
ENST00000545068_90_90;1.0;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;1.0;0.867;0.2;0.294;0.267;0.294;0.133
ENSMUST00000044564_90_90;1.0;1.0;0.867;0.067;1.0;1.0;0.2;0.6;0.235;1.0;1.0;0.9;0.15;0.217;0.2;0.217;0.1
ENSMUST00000106310_90_90;0.889;0.867;1.0;0.077;0.867;0.867;0.143;0.692;0.267;0.867;0.9;1.0;0.167;0.238;0.222;0.238;0.111
ENSMUST00000137560_90_90;0.167;0.2;0.231;0.0;0.2;0.2;0.0;0.333;0.286;0.2;0.15;0.167;1.0;0.375;0.75;0.375;0.667
ENSMUST00000138845_90_90;0.278;0.294;0.333;0.0;0.294;0.294;0.0;0.455;0.857;0.294;0.217;0.238;0.375;1.0;0.5;1.0;0.25
ENSMUST00000160219_90_90;0.222;0.267;0.308;0.0;0.267;0.267;0.0;0.444;0.429;0.267;0.2;0.222;0.75;0.5;1.0;0.5;0.5
ENSMUST00000162267_90_90;0.278;0.294;0.333;0.0;0.294;0.294;0.0;0.455;0.857;0.294;0.217;0.238;0.375;1.0;0.5;1.0;0.25
ENSMUST00000176012_90_90;0.111;0.133;0.154;0.0;0.133;0.133;0.0;0.222;0.143;0.133;0.1;0.111;0.667;0.25;0.5;0.25;1.0
