;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.958;0.978;0.877;0.978;0.958;0.028;0.978;0.165;0.138;0.12;0.254;0.049;0.238;0.674;0.211;0.877;0.193;0.978;0.997;0.978
ENST00000392476_90_90;0.958;1.0;0.962;0.866;0.962;1.0;0.028;0.962;0.161;0.135;0.119;0.266;0.048;0.241;0.699;0.177;0.866;0.187;0.98;0.939;0.956
ENST00000430767_90_90;0.978;0.962;1.0;0.902;1.0;0.962;0.028;1.0;0.161;0.135;0.119;0.267;0.048;0.241;0.701;0.177;0.902;0.188;0.939;0.98;0.959
ENST00000431431_90_90;0.877;0.866;0.902;1.0;0.902;0.866;0.0;0.902;0.063;0.037;0.13;0.3;0.0;0.273;0.603;0.165;1.0;0.09;0.839;0.876;0.855
ENST00000436233_90_90;0.978;0.962;1.0;0.902;1.0;0.962;0.028;1.0;0.161;0.135;0.119;0.267;0.048;0.241;0.701;0.177;0.902;0.188;0.939;0.98;0.959
ENST00000443798_90_90;0.958;1.0;0.962;0.866;0.962;1.0;0.028;0.962;0.161;0.135;0.119;0.266;0.048;0.241;0.699;0.177;0.866;0.187;0.98;0.939;0.956
ENST00000561721_90_90;0.028;0.028;0.028;0.0;0.028;0.028;1.0;0.028;0.182;0.216;0.0;0.0;0.707;0.0;0.04;0.0;0.0;0.156;0.03;0.03;0.031
ENST00000585618_90_90;0.978;0.962;1.0;0.902;1.0;0.962;0.028;1.0;0.161;0.135;0.119;0.267;0.048;0.241;0.701;0.177;0.902;0.188;0.939;0.98;0.959
ENST00000586429_90_90;0.165;0.161;0.161;0.063;0.161;0.161;0.182;0.161;1.0;0.841;0.0;0.181;0.275;0.0;0.222;0.353;0.063;0.856;0.169;0.17;0.174
ENST00000587820_90_90;0.138;0.135;0.135;0.037;0.135;0.135;0.216;0.135;0.841;1.0;0.0;0.113;0.327;0.0;0.186;0.263;0.037;0.72;0.142;0.143;0.146
ENST00000588488_90_90;0.12;0.119;0.119;0.13;0.119;0.119;0.0;0.119;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.13;0.0;0.122;0.122;0.124
ENST00000588616_90_90;0.254;0.266;0.267;0.3;0.267;0.266;0.0;0.267;0.181;0.113;0.0;1.0;0.0;0.19;0.375;0.463;0.3;0.254;0.26;0.26;0.267
ENST00000588880_90_90;0.049;0.048;0.048;0.0;0.048;0.048;0.707;0.048;0.275;0.327;0.0;0.0;1.0;0.0;0.065;0.0;0.0;0.235;0.051;0.051;0.052
ENST00000589202_90_90;0.238;0.241;0.241;0.273;0.241;0.241;0.0;0.241;0.0;0.0;0.0;0.19;0.0;1.0;0.331;0.034;0.273;0.0;0.223;0.224;0.229
ENST00000589827_90_90;0.674;0.699;0.701;0.603;0.701;0.699;0.04;0.701;0.222;0.186;0.0;0.375;0.065;0.331;1.0;0.243;0.603;0.26;0.669;0.67;0.685
ENST00000590483_90_90;0.211;0.177;0.177;0.165;0.177;0.177;0.0;0.177;0.353;0.263;0.0;0.463;0.0;0.034;0.243;1.0;0.165;0.449;0.217;0.218;0.225
ENST00000591437_90_90;0.877;0.866;0.902;1.0;0.902;0.866;0.0;0.902;0.063;0.037;0.13;0.3;0.0;0.273;0.603;0.165;1.0;0.09;0.839;0.876;0.855
ENST00000591786_90_90;0.193;0.187;0.188;0.09;0.188;0.187;0.156;0.188;0.856;0.72;0.0;0.254;0.235;0.0;0.26;0.449;0.09;1.0;0.198;0.198;0.204
ENSMUST00000021177_90_90;0.978;0.98;0.939;0.839;0.939;0.98;0.03;0.939;0.169;0.142;0.122;0.26;0.051;0.223;0.669;0.217;0.839;0.198;1.0;0.962;0.961
ENSMUST00000090433_90_90;0.997;0.939;0.98;0.876;0.98;0.939;0.03;0.98;0.17;0.143;0.122;0.26;0.051;0.224;0.67;0.218;0.876;0.198;0.962;1.0;0.964
ENSMUST00000103026_90_90;0.978;0.956;0.959;0.855;0.959;0.956;0.031;0.959;0.174;0.146;0.124;0.267;0.052;0.229;0.685;0.225;0.855;0.204;0.961;0.964;1.0
