;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.5;0.526;0.722;0.737;0.5;0.176;0.0;0.778;0.611;0.588;0.588;0.765;0.278;0.333;0.25
ENST00000373064_90_90;0.5;1.0;0.733;0.647;0.579;0.846;0.308;0.077;0.526;0.625;0.846;0.714;0.588;0.333;0.5;0.417
ENST00000373066_90_90;0.526;0.733;1.0;0.579;0.684;0.857;0.267;0.0;0.632;0.867;0.625;0.733;0.526;0.467;0.438;0.357
ENST00000373068_90_90;0.722;0.647;0.579;1.0;0.889;0.647;0.235;0.0;0.737;0.5;0.556;0.556;0.824;0.263;0.389;0.312
ENST00000373069_90_90;0.737;0.579;0.684;0.889;1.0;0.579;0.211;0.0;0.842;0.6;0.5;0.5;0.737;0.368;0.35;0.278
ENST00000432073_90_90;0.5;0.846;0.857;0.647;0.579;1.0;0.308;0.0;0.526;0.733;0.714;0.846;0.588;0.333;0.5;0.417
ENST00000466983_90_90;0.176;0.308;0.267;0.235;0.211;0.308;1.0;0.0;0.158;0.188;0.214;0.214;0.176;0.083;0.167;0.25
ENST00000472769_90_90;0.0;0.077;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.077;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;0.778;0.526;0.632;0.737;0.842;0.526;0.158;0.0;1.0;0.722;0.611;0.611;0.882;0.389;0.368;0.294
ENSMUST00000052119_90_90;0.611;0.625;0.867;0.5;0.6;0.733;0.188;0.0;0.722;1.0;0.733;0.857;0.611;0.467;0.438;0.357
ENSMUST00000113307_90_90;0.588;0.846;0.625;0.556;0.5;0.714;0.214;0.077;0.611;0.733;1.0;0.846;0.688;0.333;0.5;0.417
ENSMUST00000113308_90_90;0.588;0.714;0.733;0.556;0.5;0.846;0.214;0.0;0.611;0.857;0.846;1.0;0.688;0.333;0.5;0.417
ENSMUST00000113310_90_90;0.765;0.588;0.526;0.824;0.737;0.588;0.176;0.0;0.882;0.611;0.688;0.688;1.0;0.278;0.412;0.333
ENSMUST00000127961_90_90;0.278;0.333;0.467;0.263;0.368;0.333;0.083;0.0;0.389;0.467;0.333;0.333;0.278;1.0;0.545;0.444
ENSMUST00000136361_90_90;0.333;0.5;0.438;0.389;0.35;0.5;0.167;0.0;0.368;0.438;0.5;0.5;0.412;0.545;1.0;0.556
ENSMUST00000153886_90_90;0.25;0.417;0.357;0.312;0.278;0.417;0.25;0.0;0.294;0.357;0.417;0.417;0.333;0.444;0.556;1.0
