;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript20_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript47_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.867;0.956;0.818;0.953;0.915;0.915;0.778;0.963;0.956;0.818;0.956;0.956
transcript47_ENSRNOG00000031503;0.867;1.0;0.825;0.668;0.801;0.777;0.777;0.622;0.784;0.825;0.668;0.825;0.825
transcript20_ENSMUGG00000013649;0.956;0.825;1.0;0.856;1.0;0.944;0.944;0.809;1.0;1.0;0.856;1.0;1.0
transcript47_ENSMUGG00000013649;0.818;0.668;0.856;1.0;0.958;0.817;0.817;0.946;1.0;0.856;1.0;0.856;0.856
transcript20_ENSMUGG00000013592;0.953;0.801;1.0;0.958;1.0;0.947;0.947;0.905;1.0;1.0;0.958;1.0;1.0
transcript19_ENSPEMG00000024651;0.915;0.777;0.944;0.817;0.947;1.0;1.0;0.857;0.939;0.944;0.817;0.944;0.944
transcript38_ENSPEMG00000024651;0.915;0.777;0.944;0.817;0.947;1.0;1.0;0.857;0.939;0.944;0.817;0.944;0.944
transcript47_ENSPEMG00000024651;0.778;0.622;0.809;0.946;0.905;0.857;0.857;1.0;0.939;0.809;0.946;0.809;0.809
transcript27_ENSNGAG00000018584;0.963;0.784;1.0;1.0;1.0;0.939;0.939;0.939;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.956;0.825;1.0;0.856;1.0;0.944;0.944;0.809;1.0;1.0;0.856;1.0;1.0
transcript24_ENSSTOG00000019743;0.818;0.668;0.856;1.0;0.958;0.817;0.817;0.946;1.0;0.856;1.0;0.856;0.856
transcript25_ENSSTOG00000019743;0.956;0.825;1.0;0.856;1.0;0.944;0.944;0.809;1.0;1.0;0.856;1.0;1.0
transcript32_ENSSTOG00000019743;0.956;0.825;1.0;0.856;1.0;0.944;0.944;0.809;1.0;1.0;0.856;1.0;1.0
