;ENSCAFT00000006937_90_90;ENST00000422453_90_90;ENST00000441626_90_90;ENST00000446936_90_90;ENST00000451728_90_90;ENST00000500450_90_90;ENST00000502976_90_90;ENST00000504813_90_90;ENST00000512338_90_90;ENSMUST00000032138_90_90;ENSMUST00000113617_90_90;ENSMUST00000113619_90_90;ENSMUST00000204653_90_90;ENSMUST00000204890_90_90
ENSCAFT00000006937_90_90;1.0;0.81;0.953;0.842;0.859;0.627;0.701;0.737;0.702;1.0;0.942;0.811;0.942;0.869
ENST00000422453_90_90;0.81;1.0;0.858;0.748;0.942;0.764;0.855;0.909;0.506;0.885;0.935;0.791;0.935;0.856
ENST00000441626_90_90;0.953;0.858;1.0;0.889;0.906;0.674;0.748;0.784;0.626;1.0;0.942;0.811;0.942;0.869
ENST00000446936_90_90;0.842;0.748;0.889;1.0;0.795;0.743;0.828;0.674;0.619;0.869;0.811;0.925;0.811;0.869
ENST00000451728_90_90;0.859;0.942;0.906;0.795;1.0;0.728;0.811;0.858;0.546;0.943;0.885;0.754;0.885;0.812
ENST00000500450_90_90;0.627;0.764;0.674;0.743;0.728;1.0;0.887;0.836;0.419;0.669;0.7;0.802;0.7;0.752
ENST00000502976_90_90;0.701;0.855;0.748;0.828;0.811;0.887;1.0;0.764;0.489;0.754;0.791;0.914;0.791;0.852
ENST00000504813_90_90;0.737;0.909;0.784;0.674;0.858;0.836;0.764;1.0;0.441;0.8;0.845;0.7;0.845;0.766
ENST00000512338_90_90;0.702;0.506;0.626;0.619;0.546;0.419;0.489;0.441;1.0;0.681;0.623;0.609;0.623;0.674
ENSMUST00000032138_90_90;1.0;0.885;1.0;0.869;0.943;0.669;0.754;0.8;0.681;1.0;0.942;0.811;0.942;0.869
ENSMUST00000113617_90_90;0.942;0.935;0.942;0.811;0.885;0.7;0.791;0.845;0.623;0.942;1.0;0.855;1.0;0.92
ENSMUST00000113619_90_90;0.811;0.791;0.811;0.925;0.754;0.802;0.914;0.7;0.609;0.811;0.855;1.0;0.855;0.925
ENSMUST00000204653_90_90;0.942;0.935;0.942;0.811;0.885;0.7;0.791;0.845;0.623;0.942;1.0;0.855;1.0;0.92
ENSMUST00000204890_90_90;0.869;0.856;0.869;0.869;0.812;0.752;0.852;0.766;0.674;0.869;0.92;0.925;0.92;1.0
