;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.936;0.597;0.877;0.442;0.787;0.601;0.864;0.83;0.9;0.743;0.674;0.097
ENST00000320672_90_90;0.936;1.0;0.643;0.939;0.442;0.846;0.556;0.925;0.886;0.958;0.692;0.625;0.097
ENST00000504985_90_90;0.597;0.643;1.0;0.585;0.317;0.496;0.748;0.571;0.613;0.685;0.646;0.571;0.0
ENST00000505980_90_90;0.877;0.939;0.585;1.0;0.384;0.785;0.499;0.864;0.828;0.899;0.637;0.572;0.103
ENST00000509013_90_90;0.442;0.442;0.317;0.384;1.0;0.401;0.334;0.37;0.357;0.425;0.387;0.314;0.0
ENST00000509053_90_90;0.787;0.846;0.496;0.785;0.401;1.0;0.411;0.915;0.873;0.81;0.555;0.595;0.111
ENST00000512923_90_90;0.601;0.556;0.748;0.499;0.334;0.411;1.0;0.485;0.469;0.537;0.658;0.579;0.0
ENST00000514493_90_90;0.864;0.925;0.571;0.864;0.37;0.915;0.485;1.0;0.955;0.886;0.625;0.671;0.104
ENST00000515395_90_90;0.83;0.886;0.613;0.828;0.357;0.873;0.469;0.955;1.0;0.928;0.603;0.646;0.097
ENST00000615665_90_90;0.9;0.958;0.685;0.899;0.425;0.81;0.537;0.886;0.928;1.0;0.668;0.603;0.092
ENSMUST00000004094_90_90;0.743;0.692;0.646;0.637;0.387;0.555;0.658;0.625;0.603;0.668;1.0;0.917;0.128
ENSMUST00000042122_90_90;0.674;0.625;0.571;0.572;0.314;0.595;0.579;0.671;0.646;0.603;0.917;1.0;0.139
ENSMUST00000138488_90_90;0.097;0.097;0.0;0.103;0.0;0.111;0.0;0.104;0.097;0.092;0.128;0.139;1.0
