;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.74;0.905;0.866;0.888;0.992;0.789;0.994;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;0.74;0.905;0.866;0.888;0.992;0.789;0.994;1.0;1.0
transcript33_ENSHGLG00100003156;0.74;0.74;1.0;0.724;0.791;0.835;0.722;0.529;0.732;0.738;0.738
transcript34_ENSHGLG00100003156;0.905;0.905;0.724;1.0;0.774;0.793;0.887;0.685;0.898;0.904;0.904
transcript35_ENSHGLG00100003156;0.866;0.866;0.791;0.774;1.0;0.948;0.883;0.718;0.888;0.887;0.887
transcript36_ENSHGLG00100003156;0.888;0.888;0.835;0.793;0.948;1.0;0.883;0.693;0.881;0.887;0.887
transcript5_ENSHGLG00100006079;0.992;0.992;0.722;0.887;0.883;0.883;1.0;0.796;0.992;0.992;0.992
transcript30_ENSHGLG00100006079;0.789;0.789;0.529;0.685;0.718;0.693;0.796;1.0;0.792;0.787;0.787
transcript5_ENSPCIG00000036398;0.994;0.994;0.732;0.898;0.888;0.881;0.992;0.792;1.0;0.999;0.999
transcript5_ENSXMAG00000026005;1.0;1.0;0.738;0.904;0.887;0.887;0.992;0.787;0.999;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;0.738;0.904;0.887;0.887;0.992;0.787;0.999;1.0;1.0
