;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;1.0;0.75;0.75;0.875;0.75;0.0;0.625;0.75;1.0;0.75;0.75;0.625;1.0;0.375;0.5;0.375
ENST00000341049_90_90;1.0;1.0;0.667;0.667;0.889;0.667;0.077;0.556;0.667;1.0;0.667;0.667;0.667;1.0;0.333;0.556;0.364
ENST00000393467_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.222;0.091
ENST00000393468_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.222;0.091
ENST00000393470_90_90;0.875;0.889;0.75;0.75;1.0;0.75;0.083;0.625;0.75;0.889;0.75;0.75;0.75;0.889;0.375;0.444;0.273
ENST00000405348_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.222;0.091
ENST00000451122_90_90;0.0;0.077;0.0;0.0;0.083;0.0;1.0;0.0;0.0;0.091;0.0;0.0;0.125;0.091;0.0;0.143;0.5
ENST00000456473_90_90;0.625;0.556;0.833;0.833;0.625;0.833;0.0;1.0;0.833;0.556;0.833;0.833;0.571;0.556;0.6;0.25;0.1
ENST00000614113_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.222;0.091
ENSMUST00000007799_90_90;1.0;1.0;0.667;0.667;0.889;0.667;0.091;0.556;0.667;1.0;0.667;0.667;0.667;1.0;0.333;0.5;0.364
ENSMUST00000115453_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.2;0.091
ENSMUST00000115454_90_90;0.75;0.667;1.0;1.0;0.75;1.0;0.0;0.833;1.0;0.667;1.0;1.0;0.5;0.667;0.5;0.2;0.091
ENSMUST00000115455_90_90;0.625;0.667;0.5;0.5;0.75;0.5;0.125;0.571;0.5;0.667;0.5;0.5;1.0;0.667;0.5;0.5;0.333
ENSMUST00000115456_90_90;1.0;1.0;0.667;0.667;0.889;0.667;0.091;0.556;0.667;1.0;0.667;0.667;0.667;1.0;0.333;0.5;0.364
ENSMUST00000123439_90_90;0.375;0.333;0.5;0.5;0.375;0.5;0.0;0.6;0.5;0.333;0.5;0.5;0.5;0.333;1.0;0.286;0.125
ENSMUST00000150901_90_90;0.5;0.556;0.222;0.222;0.444;0.222;0.143;0.25;0.222;0.5;0.2;0.2;0.5;0.5;0.286;1.0;0.5
ENSMUST00000177234_90_90;0.375;0.364;0.091;0.091;0.273;0.091;0.5;0.1;0.091;0.364;0.091;0.091;0.333;0.364;0.125;0.5;1.0
