;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;;;0.831;0.887;0.27;0.262;0.71;0.918;0.887;0.314;0.323
ENSCAFT00000044299_90_90;;;0.89;0.819;0.294;0.279;0.764;0.923;0.954;0.343;0.289
ENST00000356634_90_90;0.831;0.89;;;;;0.704;0.827;0.852;0.32;0.294
ENST00000400181_90_90;0.887;0.819;;;;;0.648;0.818;0.788;0.288;0.35
ENST00000465864_90_90;0.27;0.294;;;;;0.323;0.258;0.266;0.327;0.04
ENST00000494920_90_90;0.262;0.279;;;;;0.344;0.271;0.279;0.049;0.0
ENSMUST00000046846_90_90;0.71;0.764;0.704;0.648;0.323;0.344;;;;;
ENSMUST00000105847_90_90;0.918;0.923;0.827;0.818;0.258;0.271;;;;;
ENSMUST00000116273_90_90;0.887;0.954;0.852;0.788;0.266;0.279;;;;;
ENSMUST00000155354_90_90;0.314;0.343;0.32;0.288;0.327;0.049;;;;;
ENSMUST00000170979_90_90;0.323;0.289;0.294;0.35;0.04;0.0;;;;;
