;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;;0.703;0.025;0.025;0.025;0.318;0.096;0.021;0.022;0.096;0.169;0.13;0.08;0.074;0.0;0.678;0.025;0.025;0.025;0.319;0.025;0.114;0.072;0.623;0.191
ENST00000312358_90_90;0.703;;;;;;;;;;;;;;;0.918;0.029;0.029;0.029;0.376;0.029;0.036;0.107;0.76;0.163
ENST00000396686_90_90;0.025;;;;;;;;;;;;;;;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396688_90_90;0.025;;;;;;;;;;;;;;;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396689_90_90;0.025;;;;;;;;;;;;;;;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENST00000396698_90_90;0.318;;;;;;;;;;;;;;;0.387;0.097;0.097;0.097;0.956;0.097;0.157;0.186;0.293;0.41
ENST00000403148_90_90;0.096;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.077;0.0;0.335;0.0;0.0;0.15
ENST00000409595_90_90;0.021;;;;;;;;;;;;;;;0.031;0.0;0.0;0.0;0.053;0.0;0.0;0.304;0.016;0.0
ENST00000412982_90_90;0.022;;;;;;;;;;;;;;;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031;0.0
ENST00000420132_90_90;0.096;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.077;0.0;0.335;0.0;0.0;0.15
ENST00000431523_90_90;0.169;;;;;;;;;;;;;;;0.168;0.0;0.0;0.0;0.409;0.0;0.289;0.126;0.103;0.81
ENST00000435853_90_90;0.13;;;;;;;;;;;;;;;0.108;0.0;0.0;0.0;0.229;0.0;0.264;0.161;0.041;0.444
ENST00000451076_90_90;0.08;;;;;;;;;;;;;;;0.114;0.0;0.0;0.0;0.207;0.0;0.082;0.347;0.037;0.262
ENST00000452101_90_90;0.074;;;;;;;;;;;;;;;0.036;0.0;0.0;0.0;0.154;0.0;0.631;0.068;0.0;0.283
ENST00000617028_90_90;0.0;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.678;0.918;0.029;0.029;0.029;0.387;0.0;0.031;0.026;0.0;0.168;0.108;0.114;0.036;0.0;;;;;;;;;;
ENSMUST00000113587_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000113588_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000113589_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000113590_90_90;0.319;0.376;0.094;0.094;0.094;0.956;0.077;0.053;0.0;0.077;0.409;0.229;0.207;0.154;0.0;;;;;;;;;;
ENSMUST00000122266_90_90;0.025;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000125306_90_90;0.114;0.036;0.0;0.0;0.0;0.157;0.335;0.0;0.0;0.335;0.289;0.264;0.082;0.631;0.0;;;;;;;;;;
ENSMUST00000132228_90_90;0.072;0.107;0.0;0.0;0.0;0.186;0.0;0.304;0.0;0.0;0.126;0.161;0.347;0.068;0.0;;;;;;;;;;
ENSMUST00000137868_90_90;0.623;0.76;0.034;0.034;0.034;0.293;0.0;0.016;0.031;0.0;0.103;0.041;0.037;0.0;0.0;;;;;;;;;;
ENSMUST00000148515_90_90;0.191;0.163;0.0;0.0;0.0;0.41;0.15;0.0;0.0;0.15;0.81;0.444;0.262;0.283;0.0;;;;;;;;;;
