;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.764;0.573;0.573;0.206;0.412;0.807;0.241;0.626;0.863;0.393;0.819;0.233
ENST00000258962_90_90;0.764;1.0;0.654;0.654;0.169;0.537;0.817;0.248;0.596;0.764;0.305;0.921;0.149
ENST00000581979_90_90;0.573;0.654;1.0;1.0;0.211;0.225;0.626;0.31;0.899;0.573;0.374;0.596;0.183
ENST00000582730_90_90;0.573;0.654;1.0;1.0;0.211;0.225;0.626;0.31;0.899;0.573;0.374;0.596;0.183
ENST00000583741_90_90;0.206;0.169;0.211;0.211;1.0;0.0;0.163;0.524;0.273;0.206;0.0;0.215;0.0
ENST00000584668_90_90;0.412;0.537;0.225;0.225;0.0;1.0;0.411;0.0;0.225;0.411;0.316;0.537;0.162
ENST00000584773_90_90;0.807;0.817;0.626;0.626;0.163;0.411;1.0;0.337;0.573;0.927;0.444;0.764;0.279
ENST00000585096_90_90;0.241;0.248;0.31;0.31;0.524;0.0;0.337;1.0;0.256;0.286;0.098;0.207;0.12
ENSMUST00000079866_90_90;0.626;0.596;0.899;0.899;0.273;0.225;0.573;0.256;1.0;0.626;0.374;0.654;0.183
ENSMUST00000107920_90_90;0.863;0.764;0.573;0.573;0.206;0.411;0.927;0.286;0.626;1.0;0.444;0.817;0.279
ENSMUST00000134824_90_90;0.393;0.305;0.374;0.374;0.0;0.316;0.444;0.098;0.374;0.444;1.0;0.305;0.647
ENSMUST00000139129_90_90;0.819;0.921;0.596;0.596;0.215;0.537;0.764;0.207;0.654;0.817;0.305;1.0;0.149
ENSMUST00000172186_90_90;0.233;0.149;0.183;0.183;0.0;0.162;0.279;0.12;0.183;0.279;0.647;0.149;1.0
