;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.981;0.949;0.851;0.948;0.967;0.95;0.323;0.917;0.999;0.98;0.008;0.793;0.535;0.258;0.287;0.967;0.95;0.948;0.853;0.976;0.995
ENSCAFT00000016916_90_90;0.981;1.0;0.968;0.837;0.964;0.948;0.966;0.341;0.9;0.98;0.999;0.008;0.812;0.554;0.253;0.282;0.949;0.967;0.965;0.839;0.995;0.976
ENSCAFT00000023521_90_90;0.949;0.968;1.0;0.87;0.998;0.981;0.999;0.337;0.869;0.948;0.967;0.008;0.788;0.528;0.252;0.28;0.981;0.999;0.998;0.87;0.968;0.949
ENST00000342558_90_90;0.851;0.837;0.87;1.0;0.806;0.819;0.805;0.189;0.769;0.85;0.836;0.009;0.657;0.398;0.29;0.323;0.819;0.804;0.806;0.997;0.837;0.851
ENST00000360663_90_90;0.948;0.964;0.998;0.806;1.0;0.979;0.998;0.331;0.868;0.947;0.963;0.008;0.784;0.525;0.252;0.281;0.98;0.996;0.998;0.805;0.964;0.948
ENST00000394828_90_90;0.967;0.948;0.981;0.819;0.979;1.0;0.981;0.315;0.885;0.966;0.948;0.008;0.769;0.509;0.256;0.286;0.999;0.98;0.978;0.821;0.948;0.967
ENST00000394829_90_90;0.95;0.966;0.999;0.805;0.998;0.981;1.0;0.333;0.869;0.949;0.965;0.008;0.786;0.527;0.252;0.28;0.982;0.998;0.996;0.807;0.966;0.95
ENST00000430762_90_90;0.323;0.341;0.337;0.189;0.331;0.315;0.333;1.0;0.291;0.324;0.341;0.0;0.418;0.619;0.0;0.0;0.32;0.338;0.336;0.194;0.341;0.323
ENST00000323055_90_90;0.917;0.9;0.869;0.769;0.868;0.885;0.869;0.291;1.0;0.918;0.9;0.009;0.712;0.455;0.281;0.313;0.886;0.87;0.868;0.772;0.895;0.912
ENST00000394853_90_90;0.999;0.98;0.948;0.85;0.947;0.966;0.949;0.324;0.918;1.0;0.981;0.008;0.793;0.536;0.258;0.288;0.967;0.95;0.948;0.852;0.975;0.994
ENST00000394854_90_90;0.98;0.999;0.967;0.836;0.963;0.948;0.965;0.341;0.9;0.981;1.0;0.008;0.812;0.555;0.253;0.282;0.948;0.966;0.964;0.839;0.994;0.975
ENST00000492351_90_90;0.008;0.008;0.008;0.009;0.008;0.008;0.008;0.0;0.009;0.008;0.008;1.0;0.0;0.014;0.03;0.027;0.008;0.008;0.008;0.009;0.008;0.008
ENST00000507176_90_90;0.793;0.812;0.788;0.657;0.784;0.769;0.786;0.418;0.712;0.793;0.812;0.0;1.0;0.398;0.178;0.21;0.769;0.787;0.785;0.66;0.807;0.788
ENST00000512215_90_90;0.535;0.554;0.528;0.398;0.525;0.509;0.527;0.619;0.455;0.536;0.555;0.014;0.398;1.0;0.094;0.091;0.51;0.527;0.526;0.4;0.549;0.53
ENST00000525819_90_90;0.258;0.253;0.252;0.29;0.252;0.256;0.252;0.0;0.281;0.258;0.253;0.03;0.178;0.094;1.0;0.898;0.256;0.252;0.252;0.289;0.253;0.258
ENST00000529324_90_90;0.287;0.282;0.28;0.323;0.281;0.286;0.28;0.0;0.313;0.288;0.282;0.027;0.21;0.091;0.898;1.0;0.285;0.28;0.281;0.322;0.282;0.287
ENSMUST00000022355_90_90;0.967;0.949;0.981;0.819;0.98;0.999;0.982;0.32;0.886;0.967;0.948;0.008;0.769;0.51;0.256;0.285;1.0;0.981;0.979;0.821;0.949;0.967
ENSMUST00000159027_90_90;0.95;0.967;0.999;0.804;0.996;0.98;0.998;0.338;0.87;0.95;0.966;0.008;0.787;0.527;0.252;0.28;0.981;1.0;0.998;0.807;0.967;0.95
ENSMUST00000161445_90_90;0.948;0.965;0.998;0.806;0.998;0.978;0.996;0.336;0.868;0.948;0.964;0.008;0.785;0.526;0.252;0.281;0.979;0.998;1.0;0.805;0.965;0.948
ENSMUST00000161989_90_90;0.853;0.839;0.87;0.997;0.805;0.821;0.807;0.194;0.772;0.852;0.839;0.009;0.66;0.4;0.289;0.322;0.821;0.807;0.805;1.0;0.839;0.853
ENSMUST00000056758_90_90;0.976;0.995;0.968;0.837;0.964;0.948;0.966;0.341;0.895;0.975;0.994;0.008;0.807;0.549;0.253;0.282;0.949;0.967;0.965;0.839;1.0;0.981
ENSMUST00000070198_90_90;0.995;0.976;0.949;0.851;0.948;0.967;0.95;0.323;0.912;0.994;0.975;0.008;0.788;0.53;0.258;0.287;0.967;0.95;0.948;0.853;0.981;1.0
