;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.845;0.721;0.379;0.704;0.748;0.847;0.859;0.728;0.796;0.627;0.186
ENST00000318386_90_90;0.845;1.0;0.799;0.407;0.639;0.777;0.928;0.822;0.697;0.762;0.653;0.178
ENST00000429429_90_90;0.721;0.799;1.0;0.402;0.551;0.697;0.861;0.7;0.578;0.638;0.523;0.178
ENST00000480936_90_90;0.379;0.407;0.402;1.0;0.292;0.287;0.436;0.37;0.388;0.313;0.457;0.255
ENST00000483348_90_90;0.704;0.639;0.551;0.292;1.0;0.797;0.679;0.598;0.483;0.538;0.424;0.12
ENST00000488267_90_90;0.748;0.777;0.697;0.287;0.797;1.0;0.835;0.726;0.599;0.663;0.546;0.118
ENST00000489418_90_90;0.847;0.928;0.861;0.436;0.679;0.835;1.0;0.824;0.695;0.762;0.649;0.155
ENSMUST00000057551_90_90;0.859;0.822;0.7;0.37;0.598;0.726;0.824;1.0;0.856;0.934;0.702;0.178
ENSMUST00000075670_90_90;0.728;0.697;0.578;0.388;0.483;0.599;0.695;0.856;1.0;0.793;0.738;0.185
ENSMUST00000101354_90_90;0.796;0.762;0.638;0.313;0.538;0.663;0.762;0.934;0.793;1.0;0.639;0.113
ENSMUST00000139518_90_90;0.627;0.653;0.523;0.457;0.424;0.546;0.649;0.702;0.738;0.639;1.0;0.231
ENSMUST00000151081_90_90;0.186;0.178;0.178;0.255;0.12;0.118;0.155;0.178;0.185;0.113;0.231;1.0
