;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.933;0.708;0.786;0.741;0.57;0.603;0.581;0.122;0.453;0.863;0.694;0.722;0.734;0.688;0.31;0.41;0.722;0.194;0.511;0.874
ENST00000264731_90_90;0.933;1.0;0.768;0.845;0.801;0.623;0.655;0.532;0.122;0.41;0.925;0.751;0.775;0.734;0.688;0.31;0.373;0.722;0.194;0.467;0.874
ENST00000320472_90_90;0.708;0.768;1.0;0.623;0.87;0.8;0.694;0.68;0.153;0.519;0.694;0.528;0.553;0.524;0.738;0.398;0.471;0.505;0.247;0.599;0.655
ENST00000354600_90_90;0.786;0.845;0.623;1.0;0.655;0.748;0.786;0.41;0.178;0.504;0.775;0.892;0.925;0.874;0.557;0.396;0.461;0.863;0.086;0.349;0.734
ENST00000392460_90_90;0.741;0.801;0.87;0.655;1.0;0.694;0.809;0.649;0.147;0.496;0.727;0.561;0.586;0.557;0.845;0.377;0.448;0.538;0.234;0.569;0.688
ENST00000392461_90_90;0.57;0.623;0.8;0.748;0.694;1.0;0.861;0.519;0.23;0.661;0.553;0.639;0.673;0.635;0.581;0.53;0.606;0.617;0.109;0.444;0.524
ENST00000392463_90_90;0.603;0.655;0.694;0.786;0.809;0.861;1.0;0.496;0.22;0.626;0.586;0.678;0.712;0.673;0.677;0.497;0.571;0.656;0.104;0.421;0.557
ENST00000418709_90_90;0.581;0.532;0.68;0.41;0.649;0.519;0.496;1.0;0.169;0.778;0.467;0.323;0.349;0.373;0.594;0.433;0.696;0.349;0.268;0.885;0.489
ENST00000434928_90_90;0.122;0.122;0.153;0.178;0.147;0.23;0.22;0.169;1.0;0.256;0.131;0.083;0.192;0.178;0.147;0.323;0.256;0.192;0.258;0.185;0.122
ENST00000437221_90_90;0.453;0.41;0.519;0.504;0.496;0.661;0.626;0.778;0.256;1.0;0.349;0.404;0.438;0.461;0.448;0.585;0.899;0.438;0.117;0.674;0.373
ENST00000440651_90_90;0.863;0.925;0.694;0.775;0.727;0.553;0.586;0.467;0.131;0.349;1.0;0.681;0.835;0.722;0.671;0.284;0.349;0.768;0.202;0.491;0.863
ENST00000449992_90_90;0.694;0.751;0.528;0.892;0.561;0.639;0.678;0.323;0.083;0.404;0.681;1.0;0.817;0.77;0.466;0.292;0.363;0.757;0.0;0.26;0.644
ENST00000456148_90_90;0.722;0.775;0.553;0.925;0.586;0.673;0.712;0.349;0.192;0.438;0.835;0.817;1.0;0.863;0.538;0.37;0.438;0.922;0.089;0.366;0.722
ENSMUST00000040231_90_90;0.734;0.734;0.524;0.874;0.557;0.635;0.673;0.373;0.178;0.461;0.722;0.77;0.863;1.0;0.655;0.44;0.504;0.925;0.086;0.349;0.845
ENSMUST00000065523_90_90;0.688;0.688;0.738;0.557;0.845;0.581;0.677;0.594;0.147;0.448;0.671;0.466;0.538;0.655;1.0;0.427;0.496;0.586;0.234;0.569;0.801
ENSMUST00000115304_90_90;0.31;0.31;0.398;0.396;0.377;0.53;0.497;0.433;0.323;0.585;0.284;0.292;0.37;0.44;0.427;1.0;0.657;0.37;0.145;0.4;0.349
ENSMUST00000115305_90_90;0.41;0.373;0.471;0.461;0.448;0.606;0.571;0.696;0.256;0.899;0.349;0.363;0.438;0.504;0.496;0.657;1.0;0.438;0.117;0.674;0.41
ENSMUST00000115306_90_90;0.722;0.722;0.505;0.863;0.538;0.617;0.656;0.349;0.192;0.438;0.768;0.757;0.922;0.925;0.586;0.37;0.438;1.0;0.089;0.366;0.775
ENSMUST00000115307_90_90;0.194;0.194;0.247;0.086;0.234;0.109;0.104;0.268;0.258;0.117;0.202;0.0;0.089;0.086;0.234;0.145;0.117;0.089;1.0;0.285;0.194
ENSMUST00000115308_90_90;0.511;0.467;0.599;0.349;0.569;0.444;0.421;0.885;0.185;0.674;0.491;0.26;0.366;0.349;0.569;0.4;0.674;0.366;0.285;1.0;0.467
ENSMUST00000115310_90_90;0.874;0.874;0.655;0.734;0.688;0.524;0.557;0.489;0.122;0.373;0.863;0.644;0.722;0.845;0.801;0.349;0.41;0.775;0.194;0.467;1.0
