;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.952;0.977;0.316;0.812;0.238;0.368;0.195;0.111;0.172;0.201;0.493;0.192;0.98;0.956;0.269;0.187;0.435;0.099
ENST00000263280_90_90;0.952;1.0;0.978;0.305;0.829;0.222;0.296;0.199;0.104;0.161;0.187;0.382;0.205;0.975;0.998;0.242;0.212;0.348;0.065
ENST00000391910_90_90;0.977;0.978;1.0;0.299;0.81;0.216;0.315;0.195;0.102;0.158;0.182;0.4;0.202;0.998;0.975;0.237;0.207;0.368;0.085
ENST00000435164_90_90;0.316;0.305;0.299;1.0;0.367;0.621;0.0;0.147;0.292;0.451;0.523;0.42;0.0;0.303;0.31;0.297;0.0;0.486;0.0
ENST00000539396_90_90;0.812;0.829;0.81;0.367;1.0;0.269;0.347;0.077;0.126;0.195;0.227;0.446;0.246;0.821;0.841;0.142;0.251;0.402;0.074
ENST00000593979_90_90;0.238;0.222;0.216;0.621;0.269;1.0;0.0;0.201;0.477;0.726;0.84;0.28;0.0;0.226;0.233;0.355;0.0;0.325;0.0
ENST00000594287_90_90;0.368;0.296;0.315;0.0;0.347;0.0;1.0;0.0;0.0;0.0;0.0;0.337;0.176;0.334;0.313;0.0;0.188;0.293;0.414
ENST00000594704_90_90;0.195;0.199;0.195;0.147;0.077;0.201;0.0;1.0;0.283;0.237;0.221;0.049;0.0;0.181;0.185;0.771;0.0;0.055;0.0
ENST00000596012_90_90;0.111;0.104;0.102;0.292;0.126;0.477;0.0;0.283;1.0;0.654;0.569;0.102;0.0;0.106;0.108;0.35;0.0;0.117;0.0
ENST00000597021_90_90;0.172;0.161;0.158;0.451;0.195;0.726;0.0;0.237;0.654;1.0;0.865;0.187;0.0;0.164;0.169;0.422;0.0;0.216;0.0
ENST00000597063_90_90;0.201;0.187;0.182;0.523;0.227;0.84;0.0;0.221;0.569;0.865;1.0;0.224;0.0;0.191;0.196;0.391;0.0;0.26;0.0
ENST00000600358_90_90;0.493;0.382;0.4;0.42;0.446;0.28;0.337;0.049;0.102;0.187;0.224;1.0;0.0;0.413;0.393;0.126;0.0;0.915;0.34
ENST00000600615_90_90;0.192;0.205;0.202;0.0;0.246;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.207;0.211;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.98;0.975;0.998;0.303;0.821;0.226;0.334;0.181;0.106;0.164;0.191;0.413;0.207;1.0;0.978;0.24;0.202;0.364;0.079
ENSMUST00000108495_90_90;0.956;0.998;0.975;0.31;0.841;0.233;0.313;0.185;0.108;0.169;0.196;0.393;0.211;0.978;1.0;0.245;0.205;0.345;0.06
ENSMUST00000184280_90_90;0.269;0.242;0.237;0.297;0.142;0.355;0.0;0.771;0.35;0.422;0.391;0.126;0.0;0.24;0.245;1.0;0.0;0.122;0.0
ENSMUST00000184694_90_90;0.187;0.212;0.207;0.0;0.251;0.0;0.188;0.0;0.0;0.0;0.0;0.0;1.0;0.202;0.205;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.435;0.348;0.368;0.486;0.402;0.325;0.293;0.055;0.117;0.216;0.26;0.915;0.0;0.364;0.345;0.122;0.0;1.0;0.373
ENSMUST00000185011_90_90;0.099;0.065;0.085;0.0;0.074;0.0;0.414;0.0;0.0;0.0;0.0;0.34;0.0;0.079;0.06;0.0;0.0;0.373;1.0
