;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.471;0.389;0.905;0.738;0.994;0.444;0.357;0.994;0.9;0.815;0.724
ENST00000261210_90_90;0.471;1.0;0.353;0.451;0.528;0.417;0.346;0.38;0.436;0.476;0.517;0.571
ENST00000266732_90_90;0.389;0.353;1.0;0.241;0.267;0.23;0.141;1.0;0.223;0.235;0.249;0.265
ENST00000343315_90_90;0.905;0.451;0.241;1.0;0.845;0.923;0.465;0.235;0.917;1.0;0.919;0.833
ENST00000393053_90_90;0.738;0.528;0.267;0.845;1.0;0.78;0.416;0.265;0.764;0.833;0.906;1.0
ENST00000556029_90_90;0.994;0.417;0.23;0.923;0.78;1.0;0.428;0.223;1.0;0.917;0.843;0.764
ENST00000556678_90_90;0.444;0.346;0.141;0.465;0.416;0.428;1.0;0.157;0.456;0.497;0.54;0.446
ENSMUST00000020123_90_90;0.357;0.38;1.0;0.235;0.265;0.223;0.157;1.0;0.215;0.227;0.239;0.254
ENSMUST00000072239_90_90;0.994;0.436;0.223;0.917;0.764;1.0;0.456;0.215;1.0;0.917;0.843;0.764
ENSMUST00000092219_90_90;0.9;0.476;0.235;1.0;0.833;0.917;0.497;0.227;0.917;1.0;0.919;0.833
ENSMUST00000099355_90_90;0.815;0.517;0.249;0.919;0.906;0.843;0.54;0.239;0.843;0.919;1.0;0.906
ENSMUST00000105293_90_90;0.724;0.571;0.265;0.833;1.0;0.764;0.446;0.254;0.764;0.833;0.906;1.0
