;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.757;0.758;0.56;0.58;0.35;0.617;0.14;0.165;0.761;0.794;0.868;0.794;0.794;0.606;0.797;0.868;0.868;0.759;0.563;0.763;0.561
ENSCAFT00000024036_90_90;0.757;1.0;0.996;0.726;0.759;0.44;0.788;0.193;0.227;0.99;0.95;0.869;0.95;0.95;0.715;0.945;0.869;0.869;0.997;0.722;0.992;0.727
ENST00000304523_90_90;0.758;0.996;1.0;0.73;0.763;0.441;0.787;0.194;0.227;0.995;0.951;0.87;0.951;0.951;0.716;0.946;0.87;0.87;0.998;0.723;0.993;0.728
ENST00000441778_90_90;0.56;0.726;0.73;1.0;0.856;0.496;0.535;0.216;0.255;0.725;0.692;0.637;0.692;0.692;0.861;0.687;0.637;0.637;0.728;0.992;0.723;0.998
ENST00000502640_90_90;0.58;0.759;0.763;0.856;1.0;0.525;0.56;0.227;0.268;0.758;0.723;0.663;0.723;0.723;0.841;0.718;0.663;0.663;0.762;0.848;0.757;0.854
ENST00000506732_90_90;0.35;0.44;0.441;0.496;0.525;1.0;0.316;0.247;0.314;0.443;0.437;0.399;0.437;0.437;0.514;0.439;0.399;0.399;0.439;0.498;0.442;0.495
ENST00000507464_90_90;0.617;0.788;0.787;0.535;0.56;0.316;1.0;0.0;0.027;0.782;0.778;0.71;0.778;0.778;0.547;0.773;0.71;0.71;0.787;0.53;0.782;0.535
ENST00000508918_90_90;0.14;0.193;0.194;0.216;0.227;0.247;0.0;1.0;0.569;0.195;0.171;0.158;0.171;0.171;0.198;0.172;0.158;0.158;0.193;0.216;0.194;0.215
ENST00000512345_90_90;0.165;0.227;0.227;0.255;0.268;0.314;0.027;0.569;1.0;0.228;0.204;0.187;0.204;0.204;0.237;0.205;0.187;0.187;0.226;0.255;0.227;0.253
ENST00000515064_90_90;0.761;0.99;0.995;0.725;0.758;0.443;0.782;0.195;0.228;1.0;0.946;0.865;0.946;0.946;0.711;0.951;0.865;0.865;0.993;0.727;0.998;0.723
ENST00000361198_90_90;0.794;0.95;0.951;0.692;0.723;0.437;0.778;0.171;0.204;0.946;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.953;0.688;0.948;0.693
ENST00000425280_90_90;0.868;0.869;0.87;0.637;0.663;0.399;0.71;0.158;0.187;0.865;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.871;0.634;0.866;0.638
ENSMUST00000026252_90_90;0.794;0.95;0.951;0.692;0.723;0.437;0.778;0.171;0.204;0.946;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.953;0.688;0.948;0.693
ENSMUST00000056931_90_90;0.794;0.95;0.951;0.692;0.723;0.437;0.778;0.171;0.204;0.946;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.953;0.688;0.948;0.693
ENSMUST00000137771_90_90;0.606;0.715;0.716;0.861;0.841;0.514;0.547;0.198;0.237;0.711;0.757;0.694;0.757;0.757;1.0;0.752;0.694;0.694;0.717;0.857;0.712;0.862
ENSMUST00000152946_90_90;0.797;0.945;0.946;0.687;0.718;0.439;0.773;0.172;0.205;0.951;0.995;0.908;0.995;0.995;0.752;1.0;0.908;0.908;0.948;0.692;0.953;0.688
ENSMUST00000156585_90_90;0.868;0.869;0.87;0.637;0.663;0.399;0.71;0.158;0.187;0.865;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.871;0.634;0.866;0.638
ENSMUST00000185355_90_90;0.868;0.869;0.87;0.637;0.663;0.399;0.71;0.158;0.187;0.865;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.871;0.634;0.866;0.638
ENSMUST00000070748_90_90;0.759;0.997;0.998;0.728;0.762;0.439;0.787;0.193;0.226;0.993;0.953;0.871;0.953;0.953;0.717;0.948;0.871;0.871;1.0;0.725;0.995;0.73
ENSMUST00000199256_90_90;0.563;0.722;0.723;0.992;0.848;0.498;0.53;0.216;0.255;0.727;0.688;0.634;0.688;0.688;0.857;0.692;0.634;0.634;0.725;1.0;0.728;0.994
ENSMUST00000199261_90_90;0.763;0.992;0.993;0.723;0.757;0.442;0.782;0.194;0.227;0.998;0.948;0.866;0.948;0.948;0.712;0.953;0.866;0.866;0.995;0.728;1.0;0.725
ENSMUST00000199534_90_90;0.561;0.727;0.728;0.998;0.854;0.495;0.535;0.215;0.253;0.723;0.693;0.638;0.693;0.693;0.862;0.688;0.638;0.638;0.73;0.994;0.725;1.0
