;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.143;0.154;0.154;0.0;0.154;0.0;0.0;0.0;0.154;0.167;0.0;0.167
ENST00000265165_90_90;0.143;1.0;0.786;0.923;0.286;0.786;0.571;0.2;0.267;0.923;0.846;0.643;0.714
ENST00000379951_90_90;0.154;0.786;1.0;0.846;0.214;0.714;0.5;0.214;0.2;0.714;0.769;0.467;0.917
ENST00000438313_90_90;0.154;0.923;0.846;1.0;0.214;0.714;0.615;0.214;0.2;0.846;0.917;0.571;0.769
ENST00000504950_90_90;0.0;0.286;0.214;0.214;1.0;0.308;0.4;0.429;0.571;0.308;0.231;0.5;0.231
ENST00000506680_90_90;0.154;0.786;0.714;0.714;0.308;1.0;0.4;0.214;0.286;0.714;0.643;0.467;0.643
ENST00000510624_90_90;0.0;0.571;0.5;0.615;0.4;0.4;1.0;0.4;0.364;0.615;0.667;0.9;0.538
ENST00000512172_90_90;0.0;0.2;0.214;0.214;0.429;0.214;0.4;1.0;0.571;0.214;0.231;0.364;0.231
ENST00000515500_90_90;0.0;0.267;0.2;0.2;0.571;0.286;0.364;0.571;1.0;0.286;0.214;0.455;0.214
ENSMUST00000029611_90_90;0.154;0.923;0.714;0.846;0.308;0.714;0.615;0.214;0.286;1.0;0.917;0.692;0.769
ENSMUST00000066849_90_90;0.167;0.846;0.769;0.917;0.231;0.643;0.667;0.231;0.214;0.917;1.0;0.615;0.833
ENSMUST00000098611_90_90;0.0;0.643;0.467;0.571;0.5;0.467;0.9;0.364;0.455;0.692;0.615;1.0;0.5
ENSMUST00000106341_90_90;0.167;0.714;0.917;0.769;0.231;0.643;0.538;0.231;0.214;0.769;0.833;0.5;1.0
