;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.857;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.981;0.981;0.981
transcript21_ENSMUNG00000007775;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.886;1.0;1.0;0.943;0.914;0.629;0.914;0.886;0.981;1.0;1.0;1.0
transcript23_ENSMUNG00000007775;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.886;1.0;1.0;0.943;0.914;0.629;0.914;0.886;0.981;1.0;1.0;1.0
transcript25_ENSMUNG00000007775;0.963;0.981;0.981;1.0;0.944;0.519;0.963;0.944;0.963;0.857;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.981;0.981;0.981
transcript26_ENSMUNG00000007775;0.944;0.963;0.963;0.944;1.0;0.558;0.944;0.926;0.944;0.857;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.944;0.963;0.963;0.963
transcript30_ENSMUNG00000007775;0.519;0.537;0.537;0.519;0.558;1.0;0.519;0.5;0.519;0.486;0.6;0.6;0.543;0.514;0.955;0.514;0.486;0.519;0.537;0.537;0.537
transcript31_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.857;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.981;0.981;0.981
transcript32_ENSMUNG00000007775;0.944;0.963;0.963;0.944;0.926;0.5;0.944;1.0;0.944;0.829;0.943;0.943;0.886;0.857;0.571;0.857;0.882;0.944;0.963;0.963;0.963
transcript33_ENSMUNG00000007775;1.0;0.981;0.981;0.963;0.944;0.519;1.0;0.944;1.0;0.857;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.981;0.981;0.981
transcript9_ENSMUNG00000002377;0.857;0.886;0.886;0.857;0.857;0.486;0.857;0.829;0.857;1.0;0.868;0.868;0.865;0.838;0.474;0.971;0.941;0.842;0.868;0.868;0.868
transcript13_ENSMUNG00000002377;0.971;1.0;1.0;0.971;0.971;0.6;0.971;0.943;0.971;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.974;1.0;1.0;1.0
transcript23_ENSMUNG00000002377;0.971;1.0;1.0;0.971;0.971;0.6;0.971;0.943;0.971;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.974;1.0;1.0;1.0
transcript27_ENSMUNG00000002377;0.914;0.943;0.943;0.914;0.914;0.543;0.914;0.886;0.914;0.865;0.947;0.947;1.0;0.972;0.553;0.842;0.816;0.921;0.947;0.947;0.947
transcript35_ENSMUNG00000002377;0.886;0.914;0.914;0.886;0.886;0.514;0.886;0.857;0.886;0.838;0.921;0.921;0.972;1.0;0.526;0.816;0.789;0.895;0.921;0.921;0.921
transcript36_ENSMUNG00000002377;0.6;0.629;0.629;0.6;0.6;0.955;0.6;0.571;0.6;0.474;0.605;0.605;0.553;0.526;1.0;0.5;0.474;0.579;0.605;0.605;0.605
transcript37_ENSMUNG00000002377;0.886;0.914;0.914;0.886;0.886;0.514;0.886;0.857;0.886;0.971;0.895;0.895;0.842;0.816;0.5;1.0;0.971;0.868;0.895;0.895;0.895
transcript38_ENSMUNG00000002377;0.857;0.886;0.886;0.857;0.857;0.486;0.857;0.882;0.857;0.941;0.868;0.868;0.816;0.789;0.474;0.971;1.0;0.842;0.868;0.868;0.868
transcript10_ENSMUNG00000002391;0.963;0.981;0.981;0.963;0.944;0.519;0.963;0.944;0.963;0.842;0.974;0.974;0.921;0.895;0.579;0.868;0.842;1.0;0.982;0.982;0.982
transcript23_ENSMUNG00000002391;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.982;1.0;1.0;1.0
transcript30_ENSMUNG00000002391;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.982;1.0;1.0;1.0
transcript33_ENSMUNG00000002391;0.981;1.0;1.0;0.981;0.963;0.537;0.981;0.963;0.981;0.868;1.0;1.0;0.947;0.921;0.605;0.895;0.868;0.982;1.0;1.0;1.0
