;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.087;0.128;0.0;0.0;0.153;0.057;0.153;0.153;0.153;0.071;0.153;0.0;0.154;0.057;0.21;0.154;0.0;0.005;0.0;0.071
ENST00000423692_90_90;0.087;1.0;0.0;0.0;0.0;0.087;0.0;0.087;0.088;0.088;0.817;0.039;0.0;0.04;0.08;0.071;0.04;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.128;0.0;1.0;0.0;0.0;0.119;0.335;0.119;0.119;0.12;0.0;0.055;0.0;0.056;0.324;0.097;0.055;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.092;0.57;0.0;0.568;0.565;0.564;0.0;0.566;0.89;0.565;0.0;0.107;0.57;0.004;0.144;0.518;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.092;1.0;0.052;0.0;0.053;0.053;0.053;0.0;0.05;0.047;0.05;0.0;0.093;0.05;0.0;0.181;0.0;0.0
ENST00000611405_90_90;0.153;0.087;0.119;0.57;0.052;1.0;0.046;0.999;0.995;0.994;0.071;0.8;0.557;0.789;0.056;0.38;0.793;0.058;0.268;0.307;0.0
ENST00000614370_90_90;0.057;0.0;0.335;0.0;0.0;0.046;1.0;0.046;0.046;0.046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.153;0.087;0.119;0.568;0.053;0.999;0.046;1.0;0.994;0.995;0.071;0.799;0.556;0.788;0.056;0.379;0.792;0.058;0.268;0.308;0.0
ENST00000618262_90_90;0.153;0.088;0.119;0.565;0.053;0.995;0.046;0.994;1.0;0.999;0.071;0.796;0.553;0.792;0.056;0.381;0.789;0.058;0.269;0.309;0.0
ENST00000618411_90_90;0.153;0.088;0.12;0.564;0.053;0.994;0.046;0.995;0.999;1.0;0.072;0.795;0.551;0.791;0.056;0.38;0.788;0.058;0.269;0.309;0.0
ENST00000641476_90_90;0.071;0.817;0.0;0.0;0.0;0.071;0.0;0.071;0.071;0.072;1.0;0.024;0.0;0.024;0.091;0.043;0.024;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.153;0.039;0.055;0.566;0.05;0.8;0.0;0.799;0.796;0.795;0.024;1.0;0.558;0.987;0.046;0.531;0.992;0.057;0.27;0.308;0.071
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.89;0.047;0.557;0.0;0.556;0.553;0.551;0.0;0.558;1.0;0.545;0.0;0.099;0.55;0.004;0.131;0.521;0.0
ENSMUST00000197466_90_90;0.154;0.04;0.056;0.565;0.05;0.789;0.0;0.788;0.792;0.791;0.024;0.987;0.545;1.0;0.047;0.538;0.995;0.057;0.274;0.301;0.072
ENSMUST00000197484_90_90;0.057;0.08;0.324;0.0;0.0;0.056;0.0;0.056;0.056;0.056;0.091;0.046;0.0;0.047;1.0;0.085;0.046;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.21;0.071;0.097;0.107;0.093;0.38;0.0;0.379;0.381;0.38;0.043;0.531;0.099;0.538;0.085;1.0;0.535;0.11;0.511;0.0;0.133
ENSMUST00000199243_90_90;0.154;0.04;0.055;0.57;0.05;0.793;0.0;0.792;0.789;0.788;0.024;0.992;0.55;0.995;0.046;0.535;1.0;0.057;0.273;0.3;0.072
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.004;0.0;0.058;0.0;0.058;0.058;0.058;0.0;0.057;0.004;0.057;0.0;0.11;0.057;1.0;0.215;0.0;0.0
ENSMUST00000199605_90_90;0.005;0.0;0.0;0.144;0.181;0.268;0.0;0.268;0.269;0.269;0.0;0.27;0.131;0.274;0.0;0.511;0.273;0.215;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.518;0.0;0.307;0.0;0.308;0.309;0.309;0.0;0.308;0.521;0.301;0.0;0.0;0.3;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0.0;0.072;0.0;0.133;0.072;0.0;0.0;0.0;1.0
