;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.625;0.571;0.742;0.715;0.773;0.915;0.609;0.587;0.603;0.597;0.568;0.935;0.611;0.934
transcript17_ggor;1.0;1.0;0.625;0.571;0.742;0.715;0.773;0.915;0.609;0.587;0.603;0.597;0.568;0.935;0.611;0.934
transcript11_ggor;0.625;0.625;1.0;0.917;0.566;0.536;0.532;0.66;0.466;0.441;0.397;0.5;0.467;0.621;0.854;0.619
transcript18_ggor;0.571;0.571;0.917;1.0;0.483;0.454;0.449;0.57;0.395;0.37;0.327;0.434;0.404;0.565;0.931;0.558
transcript12_ppan;0.742;0.742;0.566;0.483;1.0;0.972;0.98;1.0;0.994;0.964;0.912;0.962;0.958;0.803;0.541;0.809
transcript19_ppan;0.715;0.715;0.536;0.454;0.972;1.0;0.952;0.971;0.964;0.994;0.883;0.931;0.988;0.779;0.511;0.783
transcript20_ppan;0.773;0.773;0.532;0.449;0.98;0.952;1.0;0.979;0.972;0.943;0.957;0.939;0.934;0.777;0.508;0.782
transcript12_ptro;0.915;0.915;0.66;0.57;1.0;0.971;0.979;1.0;0.998;0.968;0.913;0.964;0.96;1.0;0.685;0.998
transcript12_hsap;0.609;0.609;0.466;0.395;0.994;0.964;0.972;0.998;1.0;0.973;0.921;0.956;0.952;0.626;0.456;0.644
transcript19_hsap;0.587;0.587;0.441;0.37;0.964;0.994;0.943;0.968;0.973;1.0;0.895;0.924;0.984;0.607;0.434;0.627
transcript20_hsap;0.603;0.603;0.397;0.327;0.912;0.883;0.957;0.913;0.921;0.895;1.0;0.869;0.865;0.573;0.43;0.593
transcript12_ggor;0.597;0.597;0.5;0.434;0.962;0.931;0.939;0.964;0.956;0.924;0.869;1.0;0.947;0.594;0.417;0.612
transcript19_ggor;0.568;0.568;0.467;0.404;0.958;0.988;0.934;0.96;0.952;0.984;0.865;0.947;1.0;0.592;0.383;0.61
transcript8_pabe;0.935;0.935;0.621;0.565;0.803;0.779;0.777;1.0;0.626;0.607;0.573;0.594;0.592;1.0;0.672;0.989
transcript18_hsap;0.611;0.611;0.854;0.931;0.541;0.511;0.508;0.685;0.456;0.434;0.43;0.417;0.383;0.672;1.0;0.698
transcript21_hsap;0.934;0.934;0.619;0.558;0.809;0.783;0.782;0.998;0.644;0.627;0.593;0.612;0.61;0.989;0.698;1.0
