;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.916;0.704;0.704;0.704;0.637;0.846;0.846;0.704;0.666;0.704
transcript7_ENSCGRG00000018457;0.916;1.0;0.766;0.766;0.766;0.7;0.918;0.918;0.766;0.738;0.766
transcript33_ENSCGRG00015005362;0.704;0.766;1.0;1.0;1.0;0.934;0.837;0.837;1.0;0.85;1.0
transcript33_ENSCGRG00000018457;0.704;0.766;1.0;1.0;1.0;0.934;0.837;0.837;1.0;0.85;1.0
transcript33_ENSCGRG00001010245;0.704;0.766;1.0;1.0;1.0;0.934;0.837;0.837;1.0;0.85;1.0
transcript41_ENSCGRG00015005362;0.637;0.7;0.934;0.934;0.934;1.0;0.771;0.771;0.934;0.784;0.934
transcript42_ENSCGRG00015005362;0.846;0.918;0.837;0.837;0.837;0.771;1.0;1.0;0.837;0.687;0.837
transcript43_ENSCGRG00015005362;0.846;0.918;0.837;0.837;0.837;0.771;1.0;1.0;0.837;0.687;0.837
transcript46_ENSCGRG00000018457;0.704;0.766;1.0;1.0;1.0;0.934;0.837;0.837;1.0;0.85;1.0
transcript47_ENSCGRG00000018457;0.666;0.738;0.85;0.85;0.85;0.784;0.687;0.687;0.85;1.0;0.85
transcript40_ENSCGRG00001010245;0.704;0.766;1.0;1.0;1.0;0.934;0.837;0.837;1.0;0.85;1.0
