id_transcript;block_sequence
ENSCAFT00000031985_90_90;0.1.4.6.9.10.11.12.13.14.15.16.17
ENST00000370197_90_90;0.1.4.6.7.8.9.10.11.12.13.14.15.16.17
ENST00000370198_90_90;0.1.4.6.7.8.9.10.11.12.13.14.15.17
ENST00000426398_90_90;0.1.4.6.7.10.11.12.13.14.15.17
ENST00000609116_90_90;0.1.4.6.7.10.11.12.13.14.15.16.17
ENSMUST00000029780_90_90;0.3.4.6.7.10.11.12.13.14.15.16.17
ENSMUST00000195902_90_90;6.7.8.9.10.11.12.13.14
ENSMUST00000197387_90_90;11.13
ENSMUST00000197464_90_90;0.3.4.5
ENSMUST00000197833_90_90;0.3.4.6.7.10.11.13
ENSMUST00000198403_90_90;0.1.2
ENSMUST00000200097_90_90;0.3.4.6.7.10.11.12.13.14.15.17
