;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;1.0;0.961;0.921;0.961;0.922;0.41;0.108;0.298;0.565;0.113;0.883
ENST00000370197_90_90;1.0;1.0;0.966;0.895;0.929;0.895;0.445;0.097;0.285;0.565;0.103;0.861
ENST00000370198_90_90;0.961;0.966;1.0;0.924;0.895;0.861;0.466;0.102;0.291;0.582;0.108;0.887
ENST00000426398_90_90;0.921;0.895;0.924;1.0;0.961;0.921;0.39;0.115;0.305;0.626;0.12;0.958
ENST00000609116_90_90;0.961;0.929;0.895;0.961;1.0;0.961;0.373;0.108;0.298;0.603;0.113;0.921
ENSMUST00000029780_90_90;0.922;0.895;0.861;0.921;0.961;1.0;0.373;0.108;0.327;0.642;0.069;0.961
ENSMUST00000195902_90_90;0.41;0.445;0.466;0.39;0.373;0.373;1.0;0.217;0.0;0.362;0.0;0.39
ENSMUST00000197387_90_90;0.108;0.097;0.102;0.115;0.108;0.108;0.217;1.0;0.0;0.171;0.0;0.115
ENSMUST00000197464_90_90;0.298;0.285;0.291;0.305;0.298;0.327;0.0;0.0;1.0;0.494;0.16;0.336
ENSMUST00000197833_90_90;0.565;0.565;0.582;0.626;0.603;0.642;0.362;0.171;0.494;1.0;0.103;0.669
ENSMUST00000198403_90_90;0.113;0.103;0.108;0.12;0.113;0.069;0.0;0.0;0.16;0.103;1.0;0.071
ENSMUST00000200097_90_90;0.883;0.861;0.887;0.958;0.921;0.961;0.39;0.115;0.336;0.669;0.071;1.0
