;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.542;0.913;0.905;0.913;0.348;0.9;0.889;0.722;0.105;0.5;0.556;0.222
ENSCAFT00000043849_90_90;0.542;1.0;0.652;0.545;0.652;0.562;0.7;0.579;0.421;0.214;0.533;0.6;0.286
ENST00000242480_90_90;0.913;0.652;1.0;0.84;1.0;0.4;1.0;0.81;0.667;0.143;0.429;0.476;0.19
ENST00000411732_90_90;0.905;0.545;0.84;1.0;0.84;0.24;0.81;1.0;0.824;0.053;0.444;0.5;0.235
ENST00000439032_90_90;0.913;0.652;1.0;0.84;1.0;0.4;1.0;0.81;0.667;0.143;0.429;0.476;0.19
ENST00000637191_90_90;0.348;0.562;0.4;0.24;0.4;1.0;0.429;0.238;0.095;0.333;0.5;0.462;0.444
ENSMUST00000048289_90_90;0.9;0.7;1.0;0.81;1.0;0.429;1.0;0.818;0.636;0.136;0.435;0.478;0.227
ENSMUST00000105438_90_90;0.889;0.579;0.81;1.0;0.81;0.238;0.818;1.0;0.778;0.05;0.45;0.5;0.278
ENSMUST00000127820_90_90;0.722;0.421;0.667;0.824;0.667;0.095;0.636;0.778;1.0;0.0;0.25;0.3;0.056
ENSMUST00000130933_90_90;0.105;0.214;0.143;0.053;0.143;0.333;0.136;0.05;0.0;1.0;0.167;0.154;0.143
ENSMUST00000145754_90_90;0.5;0.533;0.429;0.444;0.429;0.5;0.435;0.45;0.25;0.167;1.0;0.917;0.455
ENSMUST00000145936_90_90;0.556;0.6;0.476;0.5;0.476;0.462;0.478;0.5;0.3;0.154;0.917;1.0;0.417
ENSMUST00000146986_90_90;0.222;0.286;0.19;0.235;0.19;0.444;0.227;0.278;0.056;0.143;0.455;0.417;1.0
