;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;1.0;0.559;0.559;0.559;0.559;0.563;1.0
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;1.0;0.559;0.559;0.559;0.559;0.563;1.0
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;1.0;0.559;0.559;0.559;0.559;0.563;1.0
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;1.0;0.449;0.485;0.449;0.449;0.454;1.0
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;1.0;0.449;0.485;0.449;0.449;0.454;1.0
transcript11_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.982;1.0;1.0;0.344;1.0;1.0;0.344;1.0;0.344;1.0;0.344;0.377;0.344;0.344;0.344;1.0
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;1.0;0.449;0.485;0.449;0.449;0.454;1.0
transcript26_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.977;1.0;1.0;0.29;1.0;1.0;0.29;1.0;0.29;1.0;0.29;0.32;0.29;0.29;0.29;1.0
transcript27_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.982;1.0;1.0;0.344;1.0;1.0;0.344;1.0;0.344;1.0;0.344;0.377;0.344;0.344;0.344;1.0
transcript28_ENSHGLG00000019563;0.989;0.989;0.989;0.989;0.989;0.982;0.989;0.977;0.982;1.0;0.965;0.965;0.395;0.908;0.908;0.395;0.908;0.448;0.988;0.444;0.479;0.444;0.444;0.449;0.989
transcript7_ENSHGLG00100006079;0.977;0.977;0.977;0.977;0.977;1.0;0.977;1.0;1.0;0.965;1.0;1.0;0.565;0.922;0.922;0.565;0.922;0.617;0.98;0.62;0.62;0.62;0.62;0.618;0.977
transcript10_ENSHGLG00100006079;0.977;0.977;0.977;0.977;0.977;1.0;0.977;1.0;1.0;0.965;1.0;1.0;0.565;0.922;0.922;0.565;0.922;0.617;0.98;0.62;0.62;0.62;0.62;0.618;0.977
transcript3_ENSPCIG00000036398;0.501;0.501;0.501;0.4;0.4;0.344;0.4;0.29;0.344;0.395;0.565;0.565;1.0;0.35;0.35;0.95;0.35;0.977;0.401;0.976;0.977;0.977;0.976;0.977;0.387
transcript7_ENSPCIG00000036398;0.92;0.92;0.92;0.92;0.92;1.0;0.92;1.0;1.0;0.908;0.922;0.922;0.35;1.0;1.0;0.373;1.0;0.339;0.921;0.359;0.348;0.35;0.359;0.34;0.92
transcript8_ENSPCIG00000036398;0.92;0.92;0.92;0.92;0.92;1.0;0.92;1.0;1.0;0.908;0.922;0.922;0.35;1.0;1.0;0.373;1.0;0.339;0.921;0.359;0.348;0.35;0.359;0.34;0.92
transcript15_ENSPCIG00000036398;0.501;0.501;0.501;0.4;0.4;0.344;0.4;0.29;0.344;0.395;0.565;0.565;0.95;0.373;0.373;1.0;0.373;0.928;0.401;0.976;0.924;0.923;0.976;0.928;0.415
transcript18_ENSPCIG00000036398;0.92;0.92;0.92;0.92;0.92;1.0;0.92;1.0;1.0;0.908;0.922;0.922;0.35;1.0;1.0;0.373;1.0;0.339;0.921;0.359;0.348;0.35;0.359;0.34;0.92
transcript3_ENSMUNG00000007775;0.563;0.563;0.563;0.454;0.454;0.344;0.454;0.29;0.344;0.448;0.617;0.617;0.977;0.339;0.339;0.928;0.339;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.439
transcript8_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.988;0.98;0.98;0.401;0.921;0.921;0.401;0.921;0.454;1.0;0.454;0.454;0.454;0.454;0.454;1.0
transcript15_ENSMUNG00000002377;0.559;0.559;0.559;0.449;0.449;0.344;0.449;0.29;0.344;0.444;0.62;0.62;0.976;0.359;0.359;0.976;0.359;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.467
transcript16_ENSMUNG00000002377;0.559;0.559;0.559;0.485;0.485;0.377;0.485;0.32;0.377;0.479;0.62;0.62;0.977;0.348;0.348;0.924;0.348;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.452
transcript22_ENSMUNG00000002377;0.559;0.559;0.559;0.449;0.449;0.344;0.449;0.29;0.344;0.444;0.62;0.62;0.977;0.35;0.35;0.923;0.35;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.454
transcript23_ENSMUNG00000002377;0.559;0.559;0.559;0.449;0.449;0.344;0.449;0.29;0.344;0.444;0.62;0.62;0.976;0.359;0.359;0.976;0.359;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.467
transcript3_ENSMUNG00000002391;0.563;0.563;0.563;0.454;0.454;0.344;0.454;0.29;0.344;0.449;0.618;0.618;0.977;0.34;0.34;0.928;0.34;1.0;0.454;1.0;1.0;1.0;1.0;1.0;0.439
transcript10_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.387;0.92;0.92;0.415;0.92;0.439;1.0;0.467;0.452;0.454;0.467;0.439;1.0
