;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;1.0;1.0;0.917;0.583;0.083;0.417;1.0;0.909;1.0
ENST00000299259_90_90;1.0;1.0;0.923;0.846;0.538;0.071;0.385;0.917;0.917;1.0
ENST00000388901_90_90;1.0;0.923;1.0;0.917;0.583;0.077;0.417;1.0;0.833;0.917
ENST00000542928_90_90;0.917;0.846;0.917;1.0;0.5;0.083;0.455;0.909;0.75;0.833
ENST00000558843_90_90;0.583;0.538;0.583;0.5;1.0;0.0;0.714;0.636;0.5;0.583
ENST00000560240_90_90;0.083;0.071;0.077;0.083;0.0;1.0;0.0;0.091;0.091;0.083
ENST00000561248_90_90;0.417;0.385;0.417;0.455;0.714;0.0;1.0;0.455;0.333;0.417
ENSMUST00000028635_90_90;1.0;0.917;1.0;0.909;0.636;0.091;0.455;1.0;0.846;0.923
ENSMUST00000110462_90_90;0.909;0.917;0.833;0.75;0.5;0.091;0.333;0.846;1.0;0.923
ENSMUST00000110463_90_90;1.0;1.0;0.917;0.833;0.583;0.083;0.417;0.923;0.923;1.0
