;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;0.957;1.0;0.957;0.511;0.996;1.0;0.996;0.987;0.994;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;0.957;1.0;0.957;0.515;0.996;1.0;0.996;0.987;0.994;1.0
transcript27_ENSRNOG00000031503;0.957;0.957;1.0;0.958;1.0;0.579;0.915;0.958;0.915;0.904;0.913;0.958
transcript27_ENSMUGG00000013649;1.0;1.0;0.958;1.0;0.958;0.562;0.955;1.0;0.955;0.945;0.953;1.0
transcript34_ENSRNOG00000031503;0.957;0.957;1.0;0.958;1.0;0.579;0.915;0.958;0.915;0.904;0.913;0.958
transcript37_ENSMUGG00000013649;0.511;0.515;0.579;0.562;0.579;1.0;0.468;0.562;0.468;0.45;0.464;0.562
transcript38_ENSMUGG00000013649;0.996;0.996;0.915;0.955;0.915;0.468;1.0;0.955;1.0;0.989;0.998;0.955
transcript40_ENSMUGG00000013649;1.0;1.0;0.958;1.0;0.958;0.562;0.955;1.0;0.955;0.945;0.953;1.0
transcript45_ENSMUGG00000013649;0.996;0.996;0.915;0.955;0.915;0.468;1.0;0.955;1.0;0.989;0.998;0.955
transcript46_ENSMUGG00000013649;0.987;0.987;0.904;0.945;0.904;0.45;0.989;0.945;0.989;1.0;0.992;0.945
transcript49_ENSMUGG00000013649;0.994;0.994;0.913;0.953;0.913;0.464;0.998;0.953;0.998;0.992;1.0;0.953
transcript39_ENSMUGG00000013592;1.0;1.0;0.958;1.0;0.958;0.562;0.955;1.0;0.955;0.945;0.953;1.0
