;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.846;0.846;0.13;0.067;0.228;0.197;0.916;0.935;0.97;0.897;0.97
ENST00000312055_90_90;0.846;1.0;1.0;0.148;0.074;0.169;0.178;0.922;0.833;0.867;0.933;0.867
ENST00000354558_90_90;0.846;1.0;1.0;0.148;0.074;0.169;0.178;0.922;0.833;0.867;0.933;0.867
ENST00000525896_90_90;0.13;0.148;0.148;1.0;0.0;0.0;0.0;0.135;0.101;0.135;0.148;0.135
ENST00000526496_90_90;0.067;0.074;0.074;0.0;1.0;0.0;0.0;0.068;0.071;0.068;0.074;0.068
ENST00000526876_90_90;0.228;0.169;0.169;0.0;0.0;1.0;0.732;0.239;0.251;0.239;0.169;0.239
ENST00000527333_90_90;0.197;0.178;0.178;0.0;0.0;0.732;1.0;0.205;0.215;0.205;0.178;0.205
ENST00000529230_90_90;0.916;0.922;0.922;0.135;0.068;0.239;0.205;1.0;0.906;0.941;0.867;0.941
ENSMUST00000046769_90_90;0.935;0.833;0.833;0.101;0.071;0.251;0.215;0.906;1.0;0.964;0.886;0.964
ENSMUST00000099716_90_90;0.97;0.867;0.867;0.135;0.068;0.239;0.205;0.941;0.964;1.0;0.922;1.0
ENSMUST00000111337_90_90;0.897;0.933;0.933;0.148;0.074;0.169;0.178;0.867;0.886;0.922;1.0;0.922
ENSMUST00000111338_90_90;0.97;0.867;0.867;0.135;0.068;0.239;0.205;0.941;0.964;1.0;0.922;1.0
